order	stake_grp	rung	label	where	variant	over_subjects	quantity	value	n_safe
Risky first	0.0	1.0	log-power-n2	trials	integrate/mean	mean	dp	-0.011852149787993387	
Risky first	0.0	2.0	log-power-n2	trials	integrate/mean	mean	dp	-0.015579512605897858	
Risky first	0.0	3.0	log-power-n2	trials	integrate/mean	mean	dp	-0.019820661842250068	
Risky first	0.0	4.0	log-power-n2	trials	integrate/mean	mean	dp	-0.025663864615500707	
Risky first	0.0	5.0	log-power-n2	trials	integrate/mean	mean	dp	-0.028098156186017978	
Risky first	0.0	6.0	log-power-n2	trials	integrate/mean	mean	dp	-0.026151429940198347	
Risky first	1.0	1.0	log-power-n2	trials	integrate/mean	mean	dp	0.004240113966532758	
Risky first	1.0	2.0	log-power-n2	trials	integrate/mean	mean	dp	0.00367741481669109	
Risky first	1.0	3.0	log-power-n2	trials	integrate/mean	mean	dp	0.0025554862342516004	
Risky first	1.0	4.0	log-power-n2	trials	integrate/mean	mean	dp	-0.0016708540563505308	
Risky first	1.0	5.0	log-power-n2	trials	integrate/mean	mean	dp	-0.005294569578117052	
Risky first	1.0	6.0	log-power-n2	trials	integrate/mean	mean	dp	-0.00751244269265684	
Risky second	0.0	1.0	log-power-n2	trials	integrate/mean	mean	dp	0.019831061227965633	
Risky second	0.0	2.0	log-power-n2	trials	integrate/mean	mean	dp	0.01540810807232655	
Risky second	0.0	3.0	log-power-n2	trials	integrate/mean	mean	dp	0.004664395088235092	
Risky second	0.0	4.0	log-power-n2	trials	integrate/mean	mean	dp	-0.002256257479193403	
Risky second	0.0	5.0	log-power-n2	trials	integrate/mean	mean	dp	-0.0031799950051759128	
Risky second	0.0	6.0	log-power-n2	trials	integrate/mean	mean	dp	-0.003017106422322381	
Risky second	1.0	1.0	log-power-n2	trials	integrate/mean	mean	dp	-0.0152465219291792	
Risky second	1.0	2.0	log-power-n2	trials	integrate/mean	mean	dp	-0.014745322564717202	
Risky second	1.0	3.0	log-power-n2	trials	integrate/mean	mean	dp	-0.0073723621272947645	
Risky second	1.0	4.0	log-power-n2	trials	integrate/mean	mean	dp	0.005704775997529208	
Risky second	1.0	5.0	log-power-n2	trials	integrate/mean	mean	dp	0.01987057693403858	
Risky second	1.0	6.0	log-power-n2	trials	integrate/mean	mean	dp	0.03538814090813945	
Risky first	0.0	1.0	log-power-n2	trials	integrate/median	mean	dp	-0.011916922537738076	
Risky first	0.0	2.0	log-power-n2	trials	integrate/median	mean	dp	-0.015494954497503037	
Risky first	0.0	3.0	log-power-n2	trials	integrate/median	mean	dp	-0.019595712371638672	
Risky first	0.0	4.0	log-power-n2	trials	integrate/median	mean	dp	-0.02527848618664609	
Risky first	0.0	5.0	log-power-n2	trials	integrate/median	mean	dp	-0.027460810712714834	
Risky first	0.0	6.0	log-power-n2	trials	integrate/median	mean	dp	-0.02582561333812179	
