trial_nr	onset	event_type	phase	response	nr_frames	prob1	prob2	n1	n2	choice	onset_abs	duration
1.0	0.016564468998694792	stim	0		6376						3.3358639610087266	106.28158805999556
1.0	106.28344714199193	response	0	space							109.60274663400196	
1.0	106.29815252899425	stim	0		266						109.61745202100428	5.022976891006692
1.0	111.32112942000094	stim	0		15	1.0	0.55	14.0	16.0		114.64042891201098	0.24512703900109045
1.0	111.56625645900203	stim	1		18	1.0	0.55	14.0	16.0		114.88555595101207	0.2996318679943215
1.0	111.86588832699636	stim	2		18	1.0	0.55	14.0	16.0		115.18518781900639	0.3003518059995258
1.0	112.16624013299588	stim	3		30	1.0	0.55	14.0	16.0		115.48553962500591	0.5078726840001764
1.0	112.67411281699606	stim	4		32	1.0	0.55	14.0	16.0		115.99341230900609	0.5921864209958585
1.0	113.26629923799192	stim	5		298	1.0	0.55	14.0	16.0		116.58559873000195	4.999864712997805
1.0	118.26616395098972	stim	6		17	1.0	0.55	14.0	16.0		121.58546344299975	0.30032611500064377
1.0	118.56649006599037	stim	7		18	1.0	0.55	14.0	16.0		121.8857895580004	0.30284518501139246
1.0	118.86933525100176	stim	8		30	1.0	0.55	14.0	16.0		122.18863474301179	0.5801786730007734
1.0	119.44951392400253	stim	9		75	1.0	0.55	14.0	16.0		122.76881341601256	1.2584273029933684
1.0	120.68594945500081	response	9	j		1.0	0.55	14.0	16.0		124.00524894701084	
1.0	120.7079412269959	choice	9		241					1.0	124.02724071900593	2.7585060160054127
2.0	123.46644724300131	stim	0		15	1.0	0.55	10.0	33.0		126.78574673501134	0.24994225898990408
2.0	123.71638950199122	stim	1		17	1.0	0.55	10.0	33.0		127.03568899400125	0.2996675030008191
2.0	124.01605700499204	stim	2		18	1.0	0.55	10.0	33.0		127.33535649700207	0.3003658060042653
2.0	124.3164228109963	stim	3		30	1.0	0.55	10.0	33.0		127.63572230300633	0.5005210569943301
2.0	124.81694386799063	stim	4		35	1.0	0.55	10.0	33.0		128.13624336000066	0.5828336810081964
2.0	125.39977754899883	stim	5		299	1.0	0.55	10.0	33.0		128.71907704100886	5.029897542000981
2.0	130.4296750909998	stim	6		17	1.0	0.55	10.0	33.0		133.74897458300984	0.2862772770022275
2.0	130.71595236800204	stim	7		18	1.0	0.55	10.0	33.0		134.03525186001207	0.309975222000503
2.0	131.02592759000254	stim	8		24	1.0	0.55	10.0	33.0		134.34522708201257	0.5939410829887493
2.0	131.6198686729913	stim	9		40	1.0	0.55	10.0	33.0		134.93916816500132	0.6688705109991133
2.0	132.26876683199953	response	9	k		1.0	0.55	10.0	33.0		135.58806632400956	
2.0	132.2887391839904	choice	9		238					2.0	135.60803867600043	3.310031348009943
3.0	135.59877053200034	stim	0		16	1.0	0.55	10.0	28.0		138.91807002401038	0.2674143039912451
3.0	135.8661848359916	stim	1		17	1.0	0.55	10.0	28.0		139.18548432800162	0.3138173000043025
3.0	136.1800021359959	stim	2		17	1.0	0.55	10.0	28.0		139.49930162800592	0.28618439300043974
3.0	136.46618652899633	stim	3		29	1.0	0.55	10.0	28.0		139.78548602100636	0.5005344009987311
3.0	136.96672092999506	stim	4		35	1.0	0.55	10.0	28.0		140.2860204220051	0.5827120659960201
3.0	137.54943299599108	stim	5		301	1.0	0.55	10.0	28.0		140.86873248800111	5.0301434920111205
3.0	142.5795764880022	stim	6		17	1.0	0.55	10.0	28.0		145.89887598001224	0.2861875289963791
3.0	142.86576401699858	stim	7		18	1.0	0.55	10.0	28.0		146.18506350900861	0.3072951119975187
3.0	143.1730591289961	stim	8		25	1.0	0.55	10.0	28.0		146.49235862100613	0.5802772949973587
3.0	143.75333642399346	stim	9		40	1.0	0.55	10.0	28.0		147.0726359160035	0.6899303079990204
3.0	144.43898913900193	response	9	k		1.0	0.55	10.0	28.0		147.75828863101196	
3.0	144.44326673199248	choice	9		240					2.0	147.7625662240025	3.322742547999951
4.0	147.76600927999243	stim	0		14	1.0	0.55	14.0	19.0		151.08530877200246	0.25007533399912063
4.0	148.01608461399155	stim	1		18	1.0	0.55	14.0	19.0		151.33538410600158	0.2995894670020789
4.0	148.31567408099363	stim	2		18	1.0	0.55	14.0	19.0		151.63497357300366	0.3003325260069687
4.0	148.6160066070006	stim	3		30	1.0	0.55	14.0	19.0		151.93530609901063	0.5022124029928818
4.0	149.11821900999348	stim	4		32	1.0	0.55	14.0	19.0		152.4375185020035	0.5849656799982768
4.0	149.70318468999176	stim	5		301	1.0	0.55	14.0	19.0		153.0224841820018	5.012414854005328
4.0	154.7155995439971	stim	6		17	1.0	0.55	14.0	19.0		158.03489903600712	0.3004507979931077
4.0	155.0160503419902	stim	7		18	1.0	0.55	14.0	19.0		158.33534983400023	0.3041975870000897
4.0	155.32024792899028	stim	8		30	1.0	0.55	14.0	19.0		158.63954742100032	0.5956408640049631
4.0	155.91588879299525	stim	9		53	1.0	0.55	14.0	19.0		159.23518828500528	0.8904945899994345
4.0	156.80146978599078	response	9	j		1.0	0.55	14.0	19.0		160.1207692780008	
4.0	156.80638338299468	choice	9		240					1.0	160.1256828750047	3.1094388530036667
5.0	159.91582223599835	stim	0		15	1.0	0.55	20.0	47.0		163.23512172800838	0.24996782100060955
5.0	160.16579005699896	stim	1		18	1.0	0.55	20.0	47.0		163.485089549009	0.29968599099083804
5.0	160.4654760479898	stim	2		18	1.0	0.55	20.0	47.0		163.78477553999983	0.30026527801237535
5.0	160.76574132600217	stim	3		30	1.0	0.55	20.0	47.0		164.0850408180122	0.504634068987798
5.0	161.27037539498997	stim	4		29	1.0	0.55	20.0	47.0		164.589674887	0.5955869110039202
5.0	161.8659623059939	stim	5		299	1.0	0.55	20.0	47.0		165.18526179800392	5.013366904007853
5.0	166.87932921000174	stim	6		16	1.0	0.55	20.0	47.0		170.19862870201177	0.2863427080010297
5.0	167.16567191800277	stim	7		17	1.0	0.55	20.0	47.0		170.4849714100128	0.3153431179962354
5.0	167.481015035999	stim	8		20	1.0	0.55	20.0	47.0		170.80031452800904	0.5848384639975848
5.0	168.0658534999966	stim	9		97	1.0	0.55	20.0	47.0		171.38515299200662	1.6227223799942294
5.0	169.68410695699276	response	9	k		1.0	0.55	20.0	47.0		173.0034064490028	
5.0	169.68857587999082	choice	9		240					2.0	173.00787537200085	2.3768559580057627
6.0	172.06543183799658	stim	0		15	1.0	0.55	7.0	8.0		175.38473133000662	0.2501988320000237
6.0	172.3156306699966	stim	1		18	1.0	0.55	7.0	8.0		175.63493016200664	0.3135903039947152
6.0	172.62922097399132	stim	2		17	1.0	0.55	7.0	8.0		175.94852046600136	0.2863547380111413
6.0	172.91557571200246	stim	3		30	1.0	0.55	7.0	8.0		176.2348752040125	0.4996639699966181
6.0	173.41523968199908	stim	4		36	1.0	0.55	7.0	8.0		176.73453917400911	0.6002076320000924
6.0	174.01544731399918	stim	5		298	1.0	0.55	7.0	8.0		177.3347468060092	4.999713561992394
6.0	179.01516087599157	stim	6		17	1.0	0.55	7.0	8.0		182.3344603680016	0.30032812801073305
6.0	179.3154890040023	stim	7		18	1.0	0.55	7.0	8.0		182.63478849601233	0.2971532879892038
6.0	179.6126422919915	stim	8		35	1.0	0.55	7.0	8.0		182.93194178400154	0.6028766450035619
6.0	180.21551893699507	stim	9		32	1.0	0.55	7.0	8.0		183.5348184290051	0.5571554220077815
6.0	180.76771517199813	response	9	j		1.0	0.55	7.0	8.0		184.08701466400817	
6.0	180.77267435900285	choice	9		239					1.0	184.09197385101288	3.442701252992265
7.0	184.2153756119951	stim	0		14	1.0	0.55	10.0	14.0		187.53467510400515	0.24999553700035904
7.0	184.46537114899547	stim	1		18	1.0	0.55	10.0	14.0		187.7846706410055	0.29971888499858323
7.0	184.76509003399406	stim	2		18	1.0	0.55	10.0	14.0		188.0843895260041	0.3003125249961158
7.0	185.06540255899017	stim	3		29	1.0	0.55	10.0	14.0		188.3847020510002	0.5005952760111541
7.0	185.56599783500133	stim	4		35	1.0	0.55	10.0	14.0		188.88529732701136	0.5990381809970131
7.0	186.16503601599834	stim	5		300	1.0	0.55	10.0	14.0		189.48433550800837	5.0138541310006985
7.0	191.17889014699904	stim	6		17	1.0	0.55	10.0	14.0		194.49818963900907	0.2865942130010808
7.0	191.46548436000012	stim	7		18	1.0	0.55	10.0	14.0		194.78478385201015	0.30138892099785153
7.0	191.76687328099797	stim	8		32	1.0	0.55	10.0	14.0		195.086172773008	0.5819641050038626
7.0	192.34883738600183	stim	9		100	1.0	0.55	10.0	14.0		195.66813687801186	1.6728121989872307
7.0	194.0172311339993	response	9	j		1.0	0.55	10.0	14.0		197.33653062600933	
