label	order	n_safe	n_sub	risky	risky_sem	risky_sd	risky_lo	risky_hi	safe	safe_sem	safe_sd	safe_lo	safe_hi	ratio	ratio_sem	ratio_sd	ratio_lo	ratio_hi	noise	noise_sem	noise_sd	noise_lo	noise_hi
log-power-n1n2	Risky first	7.0	35	-0.6760913237841485	0.8807290033052099	5.210463050843427	-2.519634533766475	1.1295874819154523	1.6000266509245047	0.6787336750176887	4.015442572881053	-0.2849437939984755	3.9533896870883147	-1.8165808768095355	1.2482240944192007	7.38459332977126	-4.288108841284899	0.7264962837409817	9.80286694754666	3.745560526025362	22.15903490439461	1.6198640044486725	18.462317538894457
log-power-n1n2	Risky first	10.0	35	-0.2552553267274129	0.9596541024828675	5.6773902344675	-1.7016247227148316	1.188515051576741	0.6275291233203965	0.5181470598554684	3.0653993454834434	-0.6395547982037828	2.1666426608979026	-0.5859684914812995	1.288619591545048	7.623576313645743	-2.3628074025912955	1.0599027792224414	7.212674215517354	3.459254374014237	20.465224866704546	-0.21501591389343896	14.549172092708
log-power-n1n2	Risky first	14.0	35	0.8268249433341006	1.3557169968721	8.020529916799555	-0.9526608982676779	2.863586553315897	-0.04665240731516313	0.410119815247493	2.4263015476342433	-1.4753037562632683	1.2314034702215528	1.1109339914183065	1.5831900962066527	9.366278920971714	-0.8358179695489072	3.103169348816548	5.05244921284746	3.377355115015766	19.980702316292852	-1.6464167614464338	11.863910213045324
log-power-n1n2	Risky first	20.0	35	2.8402933607005236	2.0850375493451643	12.335248492684494	0.0711955685264618	6.135033964301522	-0.3578167096558056	0.3731495352019363	2.207582421281194	-2.1513312908524496	1.288209103156345	3.4195952958025915	2.188823222954922	12.949252818102556	0.4083378853028296	6.608316498547211	2.9660719307862484	3.4519941060406585	20.422272542126173	-3.4001150443127752	10.37031354469538
log-power-n1n2	Risky first	28.0	35	5.867736038233206	3.0851409808414028	18.251940184767943	1.128499277461083	11.4936882546995	-0.01080396564614373	0.5617517344223866	3.323368079137426	-2.4323688953513747	2.275091219817855	6.098612001727725	3.0254527870079144	17.898820067939912	1.2998605750044236	11.489365757831	1.0392887176331296	3.62966348556004	21.473378766376637	-6.175247376468549	8.756761858976029
log-power-n1n2	Risky second	7.0	35	1.0450908354415944	0.6191277556886878	3.6628091985856845	-0.42311967314650023	2.679875354636674	-0.43459891096475034	1.2172715779551941	7.2014757728824925	-3.303863758734189	2.4634759404963797	2.5350115387235017	1.5098531576016532	8.932411741136258	-0.5471207292545612	6.143986889619564	10.681415466371904	3.642841878591639	21.551343190964623	0.6094390322078347	21.368171787697072
log-power-n1n2	Risky second	10.0	35	0.3852635892674271	0.7964963158556067	4.712135751546681	-0.87993980035826	1.691470015210499	-0.8057636222749394	0.9520721452812627	5.632534770750759	-2.764539898629176	1.040748916227157	1.8476724841524628	1.4065990549154985	8.321552231712607	-0.04837867482410618	4.250036485549259	7.001501833134433	3.1146547590150795	18.42654605114412	-0.8255418202739445	15.576794044027002
log-power-n1n2	Risky second	14.0	35	0.8527650726876963	1.4170057546104617	8.383119097386768	-0.859621662515828	2.841348910911148	-0.8693375937675416	0.8471631219614898	5.011884618823924	-2.757561319557858	0.9255977291222203	2.261550304954177	1.7756168291757868	10.504690825618317	0.0808338751108545	4.8853208043668745	3.8505037435996803	2.889214725197972	17.092824824777434	-2.54452419827075	10.771319379406762
log-power-n1n2	Risky second	20.0	35	3.11876989980095	2.649080808593133	15.672173415515017	0.24859897230851116	6.564479704629999	-0.5590020198949797	0.9211916486384277	5.4498432888700075	-2.59625240084462	1.6259051287170554	4.253569284803796	2.8462533202507503	16.83866172551562	1.1622427457474414	7.91304688131104	0.7272359055121622	2.92824897666521	17.32375457073119	-5.07676532991554	6.923120009400475
log-power-n1n2	Risky second	28.0	35	7.664395741412126	4.507306497913105	26.665584848537254	2.3903129153341247	13.782091737235	0.23713383571493846	1.1965830398451296	7.079080730827654	-2.3420818190797075	3.096393129242318	8.12739672311792	4.558075470357071	26.965938140021745	3.1529111428829233	14.684335241022092	-2.081904265983342	3.1671213757651078	18.736942741786596	-8.466472022689372	4.763883157249512
