label	order	n_safe	n_sub	risky	risky_sem	risky_sd	risky_lo	risky_hi	safe	safe_sem	safe_sd	safe_lo	safe_hi	ratio	ratio_sem	ratio_sd	ratio_lo	ratio_hi	noise	noise_sem	noise_sd	noise_lo	noise_hi
log-power-n2psd	Risky first	7.0	35	1.3709171730439815	1.278714707024914	7.564978226582243	-0.4738063358185567	3.5207925222414307	2.41908511569685	0.8993228200931017	5.320465554432932	-0.11442562840291916	5.56296306653241	-0.3809434032372668	1.6710062532574599	9.885806312329496	-3.3498143111947845	2.690531771055551	7.347500809932861	1.0262773647643944	6.071538769535383	-0.007877101665699621	13.869000568633988
log-power-n2psd	Risky first	10.0	35	1.3471215405367385	1.3498652399718198	7.985910456106195	-0.25014770612303344	3.047065066247481	0.5692174294358717	0.7604847037355662	4.499088181126484	-1.1264478219895133	2.8199049414752118	1.226324776116302	1.723641580351738	10.197201106828789	-0.7034122902560425	3.2279621940811727	6.433020943872584	0.8289639632910835	4.904216944144511	0.18514828844768738	11.835207475568508
log-power-n2psd	Risky first	14.0	35	1.535131624408724	1.6909006066016135	10.003502893946683	-0.5899426082639764	3.686816899248008	-0.9589619616967173	0.7325432230607082	4.333784152196088	-2.6268444639392157	0.9972050713020393	2.969810498141212	2.112353533609084	12.496852034943737	1.082396211666317	5.079141940048751	5.5522638763164744	0.6681561743630426	3.9528652351023785	0.17849211144998042	10.297598428758503
log-power-n2psd	Risky first	20.0	35	1.8980261835851528	2.211924465666598	13.08592161307358	-1.1293308751407365	4.952831942350863	-2.306802816531571	0.8048546035627445	4.761584048472209	-4.637427004906313	-0.1724351807090772	4.941414358141053	2.768381454523588	16.377965555014907	2.2608384648492614	8.010347284598904	4.551598779914481	0.5257322903014037	3.1102741739747923	0.03886052393510994	8.452391713673478
log-power-n2psd	Risky first	28.0	35	2.383036056147264	2.7837159954003874	16.468685922279256	-1.715020498476511	6.723489616401771	-3.2284239889853166	0.9598789826533676	5.678720643497815	-6.314655667712824	-0.2622902402992032	6.83555080101253	3.537557395756254	20.9284717905881	2.795485404933145	11.408145106323595	3.5018380369173974	0.42141345689687437	2.49311563267372	-0.3995549796991871	7.1716972553365395
log-power-n2psd	Risky second	7.0	35	2.7013361971975214	1.3662406604732822	8.082788750274652	0.4097787867656996	5.086122215507546	-0.03285786125262956	0.8406005879974325	4.97306014431326	-2.4599607749476684	2.6458903390190662	3.3988167213733833	1.790199851577242	10.590965149624054	-0.048857848910326636	6.842781862638974	6.139767853306895	0.8347945561634382	4.938711196760134	0.36203343447705516	11.337272145482231
log-power-n2psd	Risky second	10.0	35	1.467868376365907	1.3553415003702343	8.018308449536244	-0.18556563666176337	3.094723733142852	-0.9159108846175508	0.7433533317722641	4.397737617797634	-2.7322849110522616	0.9023057091716238	2.8665896777509436	1.7222603664594083	10.189029735244242	0.8712562069033424	5.047843720087743	4.810138047171538	0.655044456172507	3.875295264193651	0.0964388824570255	9.216475656015906
log-power-n2psd	Risky second	14.0	35	1.1434558517846911	1.6925472734760134	10.01324470655182	-0.7798146475685301	3.090329626920068	-1.6436860039946175	0.7936464971826378	4.69527599691003	-3.795384679694419	0.2392458543068177	3.3441201258906217	2.1207476267072054	12.54651215941899	1.4371868351601218	5.519797220679918	3.452460797910172	0.5317745285999215	3.146020537817324	-0.7641169667224379	7.441514489377137
log-power-n2psd	Risky second	20.0	35	1.9175860325461056	2.4187023489500157	14.309236067958741	-1.153816642326837	4.828711292744773	-2.309821511146182	0.9752880204074621	5.769881740231832	-5.425499930672418	0.4388014829268914	5.153326684813402	2.996666621518173	17.728518816253093	2.244945582179479	8.411282807752631	1.8620664334959312	0.4713564837391383	2.788582564082039	-1.8258058895540417	6.334213644896689
log-power-n2psd	Risky second	28.0	35	4.004829913851011	3.41993420454592	20.232603607044982	-1.2104136575311246	9.01812939799103	-2.842858300340162	1.2202375342953444	7.219022607224012	-7.0128295726231675	1.0817214710818355	8.457392237766758	4.199475662579336	24.844433067004474	3.6303938990229825	13.585487407132208	0.19778130873251298	0.485493757158231	2.872219801544885	-4.209517943678588	5.199980966224327
