param	regressor	mean	lo	hi	p_gt0
memory_noise_sd_spline1	Intercept	0.49671344789955457	0.021937867015851722	0.8560354197040733	0.9903
memory_noise_sd_spline1	stimulation_condition[T.vertex]	0.007949304900668466	-0.28247064346802553	0.2578371934416759	0.5656
memory_noise_sd_spline2	Intercept	-0.13502098163587337	-0.7319519503964421	0.17450741181324028	0.4103
memory_noise_sd_spline2	stimulation_condition[T.vertex]	-0.005598290186662693	-0.20494033186400318	0.19334067279492467	0.47495
perceptual_noise_sd_spline1	Intercept	-1.850397229030663	-2.1318611156036824	-1.430972428688275	0.0
perceptual_noise_sd_spline1	stimulation_condition[T.vertex]	-0.10467844068512072	-0.3533761925383898	0.11294978441538092	0.20165
perceptual_noise_sd_spline2	Intercept	-1.1771855374885942	-1.6013755074316363	-0.14121970479220483	0.00795
perceptual_noise_sd_spline2	stimulation_condition[T.vertex]	0.06720498322705286	-0.28358305115323995	0.3292438496826518	0.72015
risky_prior_mu	Intercept	3.3778651503707837	2.593143450084674	5.604977490186339	1.0
risky_prior_sd	Intercept	-0.7123249214539706	-1.1520052407268815	0.03989587241451727	0.03375
safe_prior_mu	Intercept	3.207055488079686	1.882315160143013	7.127761351983268	1.0
safe_prior_sd	Intercept	-0.37914000381852664	-0.9722239868646071	0.540615924147655	0.20375
