param	regressor	mean	lo	hi	p_gt0
memory_noise_sd_spline1	Intercept	0.6484337114708016	0.4549358319105508	0.8856814773464631	1.0
memory_noise_sd_spline2	Intercept	0.014339928562905183	-0.14448369987833162	0.18695752286725295	0.558
perceptual_noise_sd_spline1	Intercept	-2.052245481420735	-2.319629871907719	-1.7859190429785505	0.0
perceptual_noise_sd_spline2	Intercept	-1.7017631121003485	-1.9350438857916563	-1.4481368314846563	0.0
perceptual_noise_sd_spline3	Intercept	-1.9048242196072307	-2.2244297314569925	-1.5872268611374465	0.0
perceptual_noise_sd_spline4	Intercept	-1.445541281064013	-1.7692773815401885	-1.1315595303339747	0.0
perceptual_noise_sd_spline5	Intercept	-1.2109096094726295	-1.4137499597020136	-0.9999822893265904	0.0
risky_prior_mu	Intercept	2.8060077402132264	2.5819574491388058	3.0240058044261655	1.0
risky_prior_sd	Intercept	-0.7766310465888311	-1.0824261025421167	-0.43440755842106715	0.0001
safe_prior_mu	Intercept	2.265630749303177	1.9353920925960817	2.5834372728582364	1.0
safe_prior_sd	Intercept	-0.5265728305511529	-0.9635728119689135	0.03942364018681482	0.03115
