order	stimulation_condition	median	lo	hi	observed
Risky first	ips	0.5312986000946258	0.5098515260309533	0.5532926183012389	0.5337960636674839
Risky first	vertex	0.535520505051619	0.5145521052674896	0.5559437172340392	0.5280256926944052
Risky second	ips	0.5934312324394522	0.5697052437388871	0.6150624267994441	0.6158696377748244
Risky second	vertex	0.5785319083799505	0.5579941276335197	0.598668218251649	0.563302162478083
