order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5579689036699209	0.5213102453102453	0.5936780841523212	0.5701588578014938
Risky first	0	vertex	0.563312447786132	0.529375872039406	0.5924049544857815	0.5583628985884624
Risky first	1	ips	0.520785459319294	0.4870980644251321	0.5549584648851565	0.5165086959823803
Risky first	1	vertex	0.5346227294745649	0.5002734661647752	0.5710229948438705	0.5254879878586203
Risky first	2	ips	0.5147057036530721	0.4759656147945622	0.5514830447330448	0.5142750816435027
Risky first	2	vertex	0.5065193956370426	0.46700959171547407	0.5452739926911754	0.4978310750137376
Risky second	0	ips	0.5383849775955039	0.49925646909481497	0.5737820226974362	0.5539721598368215
Risky second	0	vertex	0.5316028708133971	0.4976062179257668	0.5635386436871399	0.4940239125953411
Risky second	1	ips	0.6098199886015012	0.5787397416701928	0.6451213330627307	0.6600632980464913
Risky second	1	vertex	0.589496088706615	0.55732006151743	0.6232943912812333	0.5987324371534898
Risky second	2	ips	0.6325314910653257	0.5940970201477721	0.6670280327441981	0.6336926732415454
Risky second	2	vertex	0.6141592617908408	0.5787554682159946	0.6472941444520391	0.5966871724766462
