order	ratio_bin	median	lo	hi	observed
Risky first	0	0.28310955961331896	0.24971947726459004	0.3204016290726817	0.26284640171858215
Risky first	1	0.3720640887934121	0.33821813462226996	0.4077375581811672	0.3557715717866094
Risky first	2	0.48444086406492426	0.45021362931137365	0.5171280582408402	0.4816589091777062
Risky first	3	0.5920354457572503	0.5592015753669889	0.6254209332855949	0.5905298961689939
Risky first	4	0.6929943907387517	0.6595527807614274	0.7229495166487647	0.7046950710108605
Risky first	5	0.7734789354338227	0.7394646437522377	0.8012925468432988	0.7924955245255997
Risky second	0	0.30590225563909773	0.2713624239169352	0.34359300035803797	0.30452201933404943
Risky second	1	0.4145912400047738	0.3791449755340733	0.4541766320563313	0.41455424274973146
Risky second	2	0.5498066595059077	0.5109114751163624	0.5840607172693638	0.5570366392170903
Risky second	3	0.6573314237975891	0.628953455066237	0.6939158610812747	0.6751784222460915
Risky second	4	0.7542642320085928	0.7238955125910014	0.7870427855352666	0.7593817878028405
Risky second	5	0.8253692673241546	0.7964821387885298	0.8511246216189825	0.8268730267226508
