order	stake_bin	median	lo	hi	observed
Risky first	0	0.5461697722567287	0.5108223931865237	0.579162196499153	0.529399585921325
Risky first	1	0.5752800677583286	0.5424609260304912	0.605394061735366	0.5938735177865613
Risky first	2	0.5397586109542631	0.5097640222096744	0.5703010304912478	0.5333333333333333
Risky first	3	0.4756093544137022	0.4444847543760588	0.504142316017316	0.463678712591756
Risky first	4	0.5300065876152833	0.4967246612083569	0.5629306653491435	0.5316017316017316
Risky second	0	0.49997611084567606	0.46587882226469185	0.5323919573180442	0.48713983118330945
Risky second	1	0.5836070016939583	0.5525781949934124	0.6104194381705251	0.5907571993224167
Risky second	2	0.5953538490495012	0.5626379446640316	0.6251486965932618	0.6316698663655185
Risky second	3	0.5762751741012611	0.5466517268962922	0.6108854460756635	0.599129493694711
Risky second	4	0.6713964803312629	0.6404955486542443	0.705787215320911	0.6412505175983436
