stake3	stimulation_condition	median	lo	hi	observed
0	ips	0.5449943591058574	0.5175773618077625	0.5686348311483329	0.56220115927433
0	vertex	0.5445919246208077	0.520053137749681	0.5671703392093544	0.5264575299161766
1	ips	0.5774888273283652	0.5542644008290297	0.6011778082785486	0.5877618422158232
1	vertex	0.5758792434209636	0.5521777359354382	0.5968715373201894	0.5618613999037619
2	ips	0.5591376769714382	0.5333936109533028	0.5824560828381431	0.5740638045451909
2	vertex	0.5633301012248381	0.5371117071051281	0.5840410076133761	0.5475338546391179
