quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	59.60111062076206	14.680907148481813	284.39536229435026	
Safe prior mean (CHF)	all	2605923255259.102	7.316582862153449	6097.605309682841	
Risky prior spread (x/÷)	all	1.5198266586406037	1.31991701831182	2.0380484424960916	
Safe prior spread (x/÷)	all	1.7471875028880346	1.3920214801875366	2.7078773775240426	
memory noise @ 7 CHF	ips	0.9800979493502924	0.7120818377956196	1.206500924051719	
memory noise @ 7 CHF	vertex	0.9829303045848167	0.758494782471952	1.2116019669806266	
memory noise @ 7 CHF	IPS - vertex	-0.002832355234524227	-0.1528694119431558	0.17083744800160663	0.4313
memory noise @ 112 CHF	ips	0.6365226539528732	0.39443295852865456	0.7682411069682432	
memory noise @ 112 CHF	vertex	0.6344109693849563	0.3872285137623394	0.7745306240248647	
memory noise @ 112 CHF	IPS - vertex	0.0021116845679168784	-0.0855588633568744	0.08919484936631614	0.5244
perceptual noise @ 7 CHF	ips	0.14795872199659493	0.11458682895836958	0.2083049590832686	
perceptual noise @ 7 CHF	vertex	0.1355397364785717	0.09924568250101153	0.20725682906025175	
perceptual noise @ 7 CHF	IPS - vertex	0.01241898551802322	-0.01157813835525093	0.03870582202727803	0.8252
perceptual noise @ 112 CHF	ips	0.2878869065684453	0.1874186866161139	0.5904532446338715	
perceptual noise @ 112 CHF	vertex	0.2990553799230525	0.20383373354709533	0.5638574589321874	
perceptual noise @ 112 CHF	IPS - vertex	-0.011168473354607255	-0.058438831453098625	0.08074766465886492	0.23155
