order	stimulation_condition	median	lo	hi	observed
Risky first	ips	0.5316791400689707	0.5089128835318197	0.5531526581250427	0.5337960636674839
Risky first	vertex	0.5339436328053386	0.5117844661313844	0.5549704115996839	0.5280256926944052
Risky second	ips	0.5869042612584731	0.5654084287595502	0.6065661277892067	0.6158696377748244
Risky second	vertex	0.5854983162171941	0.5670557248615401	0.6081373048342656	0.563302162478083
