order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5513490946617882	0.5161258814530597	0.589005799768073	0.5701588578014938
Risky first	0	vertex	0.5709439724853258	0.536956300382992	0.6061003048747409	0.5583628985884624
Risky first	1	ips	0.5285427312870923	0.4939848403476223	0.5612805878332194	0.5165086959823803
Risky first	1	vertex	0.5332736092842241	0.4971739906488911	0.5668462699274287	0.5254879878586203
Risky first	2	ips	0.5182273866484393	0.4798098465861624	0.5530021645021644	0.5142750816435027
Risky first	2	vertex	0.5029601409941967	0.45694718078619007	0.5423916040100251	0.4978310750137376
Risky second	0	ips	0.5411206045416571	0.5054372646985429	0.5780635164751706	0.5539721598368215
Risky second	0	vertex	0.516792902168842	0.47845198222829805	0.550272282437696	0.4940239125953411
Risky second	1	ips	0.6062481930571272	0.5759803481201092	0.639195200727819	0.6600632980464913
Risky second	1	vertex	0.5953831548568391	0.5645856117566643	0.6286211931343509	0.5987324371534898
Risky second	2	ips	0.6288352916924345	0.5889651726719396	0.6691681829031453	0.6336926732415454
Risky second	2	vertex	0.6114505961874384	0.5721219526087947	0.6470803334092806	0.5966871724766462
