order	stake_bin	median	lo	hi	observed
Risky first	0	0.5453933747412009	0.5134546160361377	0.578019715791455	0.529399585921325
Risky first	1	0.5724006211180124	0.5438795031055902	0.6007863542254847	0.5938735177865613
Risky first	2	0.5335827216261999	0.5023313099943535	0.5646135657820441	0.5333333333333333
Risky first	3	0.47333897986071904	0.4434773197816676	0.5064256305288914	0.463678712591756
Risky first	4	0.537888198757764	0.4970614530397139	0.5770763928100884	0.5316017316017316
Risky second	0	0.497774486383182	0.46363453575410096	0.5290196050326486	0.48713983118330945
Risky second	1	0.5946980990024469	0.5632422124976473	0.627344889892716	0.5907571993224167
Risky second	2	0.6039059853190287	0.5690309947299077	0.6356246376811594	0.6316698663655185
Risky second	3	0.5780655938264634	0.5489528044419348	0.6080628881987578	0.599129493694711
Risky second	4	0.6632474120082815	0.6235864906832298	0.6993965838509316	0.6412505175983436
