order	ratio_bin	median	lo	hi	observed
Risky first	0	0.27144468313641246	0.23735392051557466	0.30711152882205517	0.26284640171858215
Risky first	1	0.3666362334407447	0.3313895452918009	0.4023626029359112	0.3557715717866094
Risky first	2	0.480828261129013	0.4456153777300394	0.5197952022914428	0.4816589091777062
Risky first	3	0.594952858336317	0.5582866690535864	0.6263086883876359	0.5905298961689939
Risky first	4	0.6954660460675498	0.657642260412937	0.7299817400644468	0.7046950710108605
Risky first	5	0.7761898794605562	0.7455054302422723	0.8054693579186061	0.7924955245255997
Risky second	0	0.3091049051199427	0.2746961152882205	0.346015932688865	0.30452201933404943
Risky second	1	0.42254445637904287	0.3836851951306839	0.4596900286430361	0.41455424274973146
Risky second	2	0.5535523332139873	0.5167983649600192	0.5900084735648645	0.5570366392170903
Risky second	3	0.6637373194891991	0.6349400883160281	0.6992612185224968	0.6751784222460915
Risky second	4	0.7538321995464853	0.7240651032342761	0.7842707065282253	0.7593817878028405
Risky second	5	0.8206425153793575	0.7914862562249779	0.8470139553429027	0.8268730267226508
