order	stake_bin	median	lo	hi	observed
Risky first	0	0.5428312629399585	0.5091931347637869	0.5734389704498399	0.529399585921325
Risky first	1	0.5704233013363448	0.5413198051948052	0.6032966779597213	0.5938735177865613
Risky first	2	0.5319522868435911	0.5006449981178243	0.5628605543007715	0.5333333333333333
Risky first	3	0.4685017880670055	0.4385894268774704	0.5017752446828534	0.463678712591756
Risky first	4	0.5371753246753246	0.5004578392621871	0.5740411490683229	0.5316017316017316
Risky second	0	0.48613847746456446	0.45121864548494983	0.520435148909062	0.48713983118330945
Risky second	1	0.6003572369659327	0.5706658290984378	0.6300238801054018	0.5907571993224167
Risky second	2	0.6173176171654433	0.5848538114059854	0.6499636645962733	0.6316698663655185
Risky second	3	0.5864977413890458	0.5593872341426689	0.6232084039149256	0.599129493694711
Risky second	4	0.6468157349896481	0.614288354037267	0.6771566252587992	0.6412505175983436
