quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	49.87371204839266	16.006320350838685	203.14872967139013	
Safe prior mean (CHF)	all	153.9011234450634	6.76508120292601	1045.8627799933824	
Risky prior spread (x/÷)	all	1.52318694257604	1.3293584551008673	1.9572213136274	
Safe prior spread (x/÷)	all	1.7958762937767798	1.4400117907164092	2.490147795563617	
memory noise @ 7 CHF	all	0.7288894102032805	0.5157282806042633	0.8564103704999002	
memory noise @ 112 CHF	all	2.798672457811531	1.1278199408820373	4.365028214114931	
perceptual noise @ 7 CHF	all	0.23130117753390378	0.18214710071156276	0.35879604732553966	
perceptual noise @ 112 CHF	all	0.05695891295157743	0.003427365702199477	0.20699090727381933	
