stake3	stimulation_condition	median	lo	hi	observed
0	ips	0.5452274013249623	0.5190676826560974	0.5706182150215251	0.56220115927433
0	vertex	0.5449918752582424	0.522721366244083	0.5677049746674723	0.5264575299161766
1	ips	0.5693720530492481	0.5467232878293645	0.5942427130254809	0.5877618422158232
1	vertex	0.5612469601429806	0.5403455771157955	0.5852931308991963	0.5618613999037619
2	ips	0.5949515414695132	0.56723555372384	0.6191330422537098	0.5740638045451909
2	vertex	0.5395304849252218	0.5171284291810607	0.5666512532236215	0.5475338546391179
