quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	19.028745071364213	16.256194189916332	22.12849722078992	
Safe prior mean (CHF)	all	10.333301867402435	7.234702393135961	14.890110244091272	
Risky prior spread (x/÷)	all	1.5320849267515297	1.4132540610383482	1.677138750357266	
Safe prior spread (x/÷)	all	1.804340036899827	1.534663894335429	2.2699593380007035	
n1 noise @ 7 CHF	ips	0.2498280265736465	0.21213029221294707	0.29465021199935737	
n1 noise @ 7 CHF	vertex	0.21587745309595202	0.18632339273406975	0.2500612875084965	
n1 noise @ 7 CHF	IPS - vertex	0.033950573477694444	-0.006256879238054855	0.0744332666447025	0.95155
n1 noise @ 112 CHF	ips	0.2438889825699865	0.20711662751594853	0.28706482620605994	
n1 noise @ 112 CHF	vertex	0.2632794579540144	0.21966619667518744	0.3169263309888103	
n1 noise @ 112 CHF	IPS - vertex	-0.019390475384027904	-0.06017340786418808	0.020236032171242094	0.1673
n2 noise @ 7 CHF	all	0.11682379251934158	0.09214032882017299	0.1396446970624519	
n2 noise @ 112 CHF	all	0.23204486446425235	0.19850587353359336	0.26961412035629667	
