order	stake_bin	median	lo	hi	observed
Risky first	0	0.5472026162243553	0.508071240353849	0.5844081733483907	0.529399585921325
Risky first	1	0.57542123094297	0.54319191134952	0.6096736260116695	0.5938735177865613
Risky first	2	0.5408055712403539	0.5064784490871448	0.5692665396198004	0.5333333333333333
Risky first	3	0.47371306230001886	0.4405751223414267	0.5042014869188782	0.463678712591756
Risky first	4	0.5303336156597026	0.49694534632034637	0.5646368577075099	0.5316017316017316
Risky second	0	0.4992057652492434	0.4650989409141583	0.5305014731645167	0.48713983118330945
Risky second	1	0.5835174101261058	0.5513952098626013	0.6096225625823452	0.5907571993224167
Risky second	2	0.5953126293995858	0.5616524138904574	0.6281341991341992	0.6316698663655185
Risky second	3	0.5751788067005459	0.5457900432900433	0.607656691134952	0.599129493694711
Risky second	4	0.6720310559006212	0.6401199792960662	0.7046908902691511	0.6412505175983436
