order	stake_bin	median	lo	hi	observed
Risky first	0	0.5441746659137964	0.5044798136645964	0.5767231319405233	0.529399585921325
Risky first	1	0.5734400527009222	0.5406578157349896	0.6036922548466027	0.5938735177865613
Risky first	2	0.5348320158102766	0.5021315640880859	0.5659610860154338	0.5333333333333333
Risky first	3	0.4754117259552042	0.4460467250141163	0.5104161961227178	0.463678712591756
Risky first	4	0.5360436664784491	0.5010376670431017	0.5740157396950876	0.5316017316017316
Risky second	0	0.4906016085363911	0.4547285594839943	0.5240672280617932	0.48713983118330945
Risky second	1	0.5944010916619612	0.5654747364953887	0.625863749294184	0.5907571993224167
Risky second	2	0.6094009975531715	0.5784287925842274	0.6458185300207039	0.6316698663655185
Risky second	3	0.5837803500846979	0.5547133210991906	0.612556700545831	0.599129493694711
Risky second	4	0.6520869565217391	0.6132650103519669	0.6843231884057971	0.6412505175983436
