order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5652634578552314	0.5300491770871029	0.6031334275336928	0.5701588578014938
Risky first	0	vertex	0.5481581117295403	0.5076086211198994	0.5832892187177902	0.5583628985884624
Risky first	1	ips	0.5292692770888259	0.49954845718191576	0.5614339338606256	0.5165086959823803
Risky first	1	vertex	0.5226828849562153	0.48870208194920706	0.5566067275395006	0.5254879878586203
Risky first	2	ips	0.5115094554568238	0.47220661502240446	0.5451786663628769	0.5142750816435027
Risky first	2	vertex	0.5043371128355648	0.4649734697706834	0.5387881859282788	0.4978310750137376
Risky second	0	ips	0.5552780761427378	0.5191914906313402	0.5940446353980189	0.5539721598368215
Risky second	0	vertex	0.5336254055051048	0.49954825917607876	0.5682890722477187	0.4940239125953411
Risky second	1	ips	0.60053949490482	0.5695394323598658	0.6395205763326064	0.6600632980464913
Risky second	1	vertex	0.5860180754917597	0.5514265967950179	0.6202611832611833	0.5987324371534898
Risky second	2	ips	0.6287470299124436	0.5923542378673957	0.6611886453145851	0.6336926732415454
Risky second	2	vertex	0.6177284119389383	0.5835566567934989	0.6516243449532922	0.5966871724766462
