order	ratio_bin	median	lo	hi	observed
Risky first	0	0.28484783387039025	0.2495733977801647	0.3191080379520229	0.26284640171858215
Risky first	1	0.37770139634801286	0.3412277121374866	0.4092970819906909	0.3557715717866094
Risky first	2	0.48869674185463663	0.45613674066117676	0.5256088435374149	0.4816589091777062
Risky first	3	0.5955555555555556	0.5600597923379877	0.62800268528464	0.5905298961689939
Risky first	4	0.6942176870748299	0.6552190893901421	0.7294892588614392	0.7046950710108605
Risky first	5	0.7789044038668099	0.7406619525002984	0.808811880892708	0.7924955245255997
Risky second	0	0.3048460436806302	0.26962952022914427	0.3461482277121375	0.30452201933404943
Risky second	1	0.4140511994271393	0.3731990691013247	0.44989061940565694	0.41455424274973146
Risky second	2	0.5452380952380953	0.5051967120181405	0.5787757787325456	0.5570366392170903
Risky second	3	0.6556850459482039	0.6224175915980427	0.6933087480606277	0.6751784222460915
Risky second	4	0.7504033894259459	0.7136471834347774	0.7769346879102519	0.7593817878028405
Risky second	5	0.8180415324024346	0.7782003059597046	0.8470614930182598	0.8268730267226508
