ratio_bin	median	lo	hi	observed
0	0.2908974358974359	0.2685961538461538	0.31743223443223445	0.2837728937728938
1	0.3938167534220166	0.36846896086369774	0.41944854925775976	0.38512434933487566
2	0.5173351648351648	0.49433547811837286	0.5433401050703682	0.5198178137651822
3	0.6274956622325043	0.603571934644303	0.650504361866204	0.6326055523423945
4	0.7250790437632543	0.7015609456333141	0.7465250385579333	0.7321900906111433
5	0.7981959706959707	0.7767380952380951	0.820312271062271	0.8095604395604395
