ratio_bin	median	lo	hi	observed
0	0.29666666666666663	0.26816391941391937	0.3225810439560439	0.2837728937728938
1	0.3922792558318874	0.3648637459032196	0.4205205080007712	0.38512434933487566
2	0.5125462695199537	0.4878509494891074	0.5398315259302102	0.5198178137651822
3	0.6235217852323115	0.6003188741083478	0.6455402689415847	0.6326055523423945
4	0.7258155002891845	0.7025547522652786	0.7478200790437632	0.7321900906111433
5	0.8068223443223443	0.7852925824175825	0.828135989010989	0.8095604395604395
