order	ratio_bin	median	lo	hi	observed
Risky first	0	0.2740905836018618	0.2442223415682062	0.30440682062298596	0.26284640171858215
Risky first	1	0.3652595775152166	0.3298068385248836	0.40106355173648406	0.3557715717866094
Risky first	2	0.4812358276643991	0.4468140887934121	0.5162540577634562	0.4816589091777062
Risky first	3	0.5932599355531687	0.5570267633369137	0.6317736006683374	0.5905298961689939
Risky first	4	0.6940440386680988	0.663233470581215	0.7237306659505908	0.7046950710108605
Risky first	5	0.7731370091896408	0.7374979412817758	0.8028250984604367	0.7924955245255997
Risky second	0	0.3136484067311135	0.2795234514858575	0.3482907268170426	0.30452201933404943
Risky second	1	0.42280701754385963	0.38796371882086167	0.46108187134502926	0.41455424274973146
Risky second	2	0.5597231173171022	0.5195509905716673	0.5966958169232606	0.5570366392170903
Risky second	3	0.6649767275331184	0.6310642379758922	0.7014360603890679	0.6751784222460915
Risky second	4	0.7551306838524883	0.7237883100608664	0.7846501969208737	0.7593817878028405
Risky second	5	0.819015395631937	0.7915484083585587	0.8463475409302477	0.8268730267226508
