quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	15.749012580756558	13.713411447224109	17.86819934318618	
Safe prior mean (CHF)	all	9.232870964821354	7.4781549055537955	10.955151455229426	
Risky prior spread (x/÷)	all	1.4318539010141276	1.3253195994957592	1.5740165878359786	
Safe prior spread (x/÷)	all	1.5558467630491317	1.3770203848355962	1.8439231490122567	
memory noise @ 7 CHF	ips	1.0875180812978247	0.9465966128793066	1.261913286856262	
memory noise @ 7 CHF	vertex	1.0564277993091642	0.91280643990116	1.2374605081818315	
memory noise @ 7 CHF	IPS - vertex	0.03109028198866032	-0.15962419291019697	0.21491639056248368	0.64005
memory noise @ 112 CHF	ips	0.6920820417282668	0.6251509279298549	0.7682055772762219	
memory noise @ 112 CHF	vertex	0.7015330505308132	0.6229361306681329	0.7901909991352588	
memory noise @ 112 CHF	IPS - vertex	-0.009451008802546212	-0.10495990594553592	0.08282073988771581	0.41915
