order	stake_bin	median	lo	hi	observed
Risky first	0	0.5349496517974779	0.5007072275550537	0.5687140033879164	0.529399585921325
Risky first	1	0.5825224920007529	0.5542929465462074	0.6105701016374929	0.5938735177865613
Risky first	2	0.5442499529456051	0.5152657396950875	0.576157067570111	0.5333333333333333
Risky first	3	0.46505270092226614	0.4372087332956898	0.49515492659514393	0.463678712591756
Risky first	4	0.5267457180500659	0.4947363777526821	0.5627969132316958	0.5316017316017316
Risky second	0	0.48382505175983437	0.44490444338270424	0.5244770106704889	0.48713983118330945
Risky second	1	0.5920558065123283	0.5578845943911162	0.6248507999247129	0.5907571993224167
Risky second	2	0.6321847355543008	0.5964839732731038	0.6605022115565594	0.6316698663655185
Risky second	3	0.5924430641821946	0.5569547571993224	0.6196454451345755	0.599129493694711
Risky second	4	0.6417122153209109	0.6111176501035196	0.6789262939958592	0.6412505175983436
