order	stake_bin	median	lo	hi	observed
Risky first	0	0.5416666666666666	0.507359660267269	0.5809543807641633	0.529399585921325
Risky first	1	0.5743150762281197	0.5401170713344626	0.6073883446263881	0.5938735177865613
Risky first	2	0.5339309241483154	0.5029107848673066	0.574393115942029	0.5333333333333333
Risky first	3	0.474712968191229	0.44203804347826087	0.5054152550348202	0.463678712591756
Risky first	4	0.5375752870318087	0.5019274656502917	0.5755404197252023	0.5316017316017316
Risky second	0	0.48948303870043	0.45316740723045074	0.5242731286829112	0.48713983118330945
Risky second	1	0.5987746094485225	0.5678553265575005	0.6313088979860718	0.5907571993224167
Risky second	2	0.6155451722190852	0.579590330321852	0.6476144880481837	0.6316698663655185
Risky second	3	0.5861636551853944	0.5526712779973649	0.6211568322981367	0.599129493694711
Risky second	4	0.6451159420289855	0.6085910973084886	0.6824132505175983	0.6412505175983436
