order	ratio_bin	median	lo	hi	observed
Risky first	0	0.28552989616899394	0.2556308628714644	0.31607456140350876	0.26284640171858215
Risky first	1	0.37621911922663803	0.3446364124597207	0.4118717329036878	0.3557715717866094
Risky first	2	0.4847619047619047	0.44991836734693874	0.5250759637188208	0.4816589091777062
Risky first	3	0.590703544575725	0.5598030791263874	0.6263719715956557	0.5905298961689939
Risky first	4	0.6901145721446473	0.658138978398377	0.7246878804153241	0.7046950710108605
Risky first	5	0.772016350399809	0.7405951187492541	0.8040214226041293	0.7924955245255997
Risky second	0	0.3087862513426423	0.2720643573218761	0.3413627819548872	0.30452201933404943
Risky second	1	0.41766678601265067	0.3802512531328321	0.45387820742332013	0.41455424274973146
Risky second	2	0.5481256713211601	0.5133414786967418	0.5839307793292755	0.5570366392170903
Risky second	3	0.6584306003102995	0.629046157059315	0.695904911087242	0.6751784222460915
Risky second	4	0.7547941281775867	0.7247234156820622	0.7813159983291562	0.7593817878028405
Risky second	5	0.8255945057448817	0.7971102512775444	0.8527002245874427	0.8268730267226508
