param	regressor	mean	lo	hi	p_gt0
n1_evidence_sd_spline1	Intercept	-1.2614445653348356	-1.4592325664996528	-1.0438032427259516	0.0
n1_evidence_sd_spline1	stimulation_condition[T.vertex]	-0.161747538042626	-0.42145491553990405	0.0968297860205268	0.10425
n1_evidence_sd_spline2	Intercept	-1.2889088255436583	-1.4864788877329127	-1.0833070963492077	0.0
n1_evidence_sd_spline2	stimulation_condition[T.vertex]	0.08526292443545062	-0.17108606325780748	0.3385020178525987	0.7574
n2_evidence_sd_spline1	Intercept	-2.0856497842363044	-2.394042929906362	-1.835821436035525	0.0
n2_evidence_sd_spline2	Intercept	-1.3434717673920553	-1.5409199146012795	-1.1459622864700516	0.0
risky_prior_mu	Intercept	2.945100477900427	2.7009980330832137	3.193150878110144	1.0
risky_prior_sd	Intercept	-0.6285988100743068	-0.9293052547093951	-0.3095924493658209	0.00015
safe_prior_mu	Intercept	2.373027904731822	1.8532176974957772	2.9555257357359155	1.0
safe_prior_sd	Intercept	-0.23069653938054216	-0.6689992113541987	0.32352442870370685	0.1712
