curve	stim	payoff	median	lo	hi
n1 (first)	vertex	7.0	0.24948369297380277	0.21507771296323283	0.2917409629724095
n1 (first)	vertex	7.515760138376831	0.24962696595187653	0.21613704549679022	0.290385228757727
n1 (first)	vertex	8.069521493944878	0.24984298857263115	0.21724692286467573	0.2889674063618168
n1 (first)	vertex	8.664083997137995	0.25003572202569624	0.21831281648098028	0.2878454166471293
n1 (first)	vertex	9.302453877319765	0.2502852806676289	0.21939964301235815	0.2869686583208383
n1 (first)	vertex	9.987858862892699	0.25061670470411646	0.22050348933899658	0.28611653137739557
n1 (first)	vertex	10.723764501351813	0.2510475006040842	0.22146844789960907	0.28557151719800083
n1 (first)	vertex	11.513891681800072	0.2515146947313871	0.2224452680559107	0.28499323413686745
n1 (first)	vertex	12.362235448523078	0.25203159550539284	0.223380539129111	0.2845863589224251
n1 (first)	vertex	13.2730852007484	0.2526224687928106	0.22451775756437845	0.28427909191742207
n1 (first)	vertex	14.251046380723466	0.2532864516300556	0.22562968622355925	0.2841795028460157
n1 (first)	vertex	15.30106375977155	0.25402411259474666	0.2267427582427213	0.2844738565538685
n1 (first)	vertex	16.42844644006477	0.25484933079541827	0.22773244811520532	0.2848039913734182
n1 (first)	vertex	17.638894698528226	0.2556979612088422	0.22866649945555814	0.2853064692067005
n1 (first)	vertex	18.93852880860355	0.25659534560676106	0.22965453524031496	0.28617302449211035
n1 (first)	vertex	20.33391998560055	0.2576021130534624	0.23056592300643258	0.2870528036952805
n1 (first)	vertex	21.83212361210294	0.2586697149293159	0.2314212658953251	0.2883066334398826
n1 (first)	vertex	23.440714911422702	0.25983346963182175	0.23234445805268755	0.2896891060522114
n1 (first)	vertex	25.16782724947516	0.26100128571174713	0.23312373203780903	0.29142452829428783
n1 (first)	vertex	27.02219325873709	0.2623131521550276	0.23397930892724683	0.2933573567048505
n1 (first)	vertex	29.013188992218765	0.26366913266652503	0.2346473682400272	0.2954576290382117
n1 (first)	vertex	31.15088133070163	0.26512363729534616	0.23540745781974004	0.29797055207226497
