order	stake_bin	median	lo	hi	observed
Risky first	0	0.5254540749105967	0.4912623517786561	0.5601839826839826	0.529399585921325
Risky first	1	0.5727508940335028	0.5416359166196122	0.6018678571428572	0.5938735177865613
Risky first	2	0.5431182947487295	0.5136868294748729	0.5743894692264256	0.5333333333333333
Risky first	3	0.4879728966685488	0.45443322981366463	0.5206777009222661	0.463678712591756
Risky first	4	0.5440287972896669	0.5085573122529644	0.5805879446640315	0.5316017316017316
Risky second	0	0.5021340977862716	0.46693582974996023	0.5316886924669534	0.48713983118330945
Risky second	1	0.597993694711086	0.5674487530585356	0.6266837097684924	0.5907571993224167
Risky second	2	0.6062107095802748	0.574636231884058	0.6405412619988706	0.6316698663655185
Risky second	3	0.5763833992094862	0.544158079239601	0.607265551477508	0.599129493694711
Risky second	4	0.6390786749482402	0.6082961697722568	0.6736389751552795	0.6412505175983436
