order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5597703228021671	0.5240855173010193	0.5931086680286148	0.5701588578014938
Risky first	0	vertex	0.5610718896809122	0.5222716287471927	0.5952967944753659	0.5583628985884624
Risky first	1	ips	0.534846423417852	0.49431393961093206	0.5704665776996605	0.5165086959823803
Risky first	1	vertex	0.5318775452764839	0.4989911106388329	0.5646977085890177	0.5254879878586203
Risky first	2	ips	0.5002726513252829	0.4681078833447255	0.533453425229741	0.5142750816435027
Risky first	2	vertex	0.5007721397969076	0.4687735615777412	0.5325473532315638	0.4978310750137376
Risky second	0	ips	0.5287692716640084	0.4896294469941086	0.5585631123262702	0.5539721598368215
Risky second	0	vertex	0.5273260532283088	0.4913614149008886	0.5627809024726318	0.4940239125953411
Risky second	1	ips	0.6224830665918679	0.5846981807076899	0.6524888773691295	0.6600632980464913
Risky second	1	vertex	0.6183500417710943	0.5777649426596795	0.6517030834662414	0.5987324371534898
Risky second	2	ips	0.6197889203528302	0.5832592981371177	0.653534811053608	0.6336926732415454
Risky second	2	vertex	0.6249232930811878	0.584259265588213	0.6546222753854333	0.5966871724766462
