order	stake_bin	median	lo	hi	observed
Risky first	0	0.543360624882364	0.5079693675889329	0.5763098767174855	0.529399585921325
Risky first	1	0.5727420478072651	0.541995285149633	0.6054259081498212	0.5938735177865613
Risky first	2	0.5336721249764729	0.5061771833239225	0.5630658290984377	0.5333333333333333
Risky first	3	0.4758399209486166	0.44107236965932617	0.5043690005646527	0.463678712591756
Risky first	4	0.5371494447581404	0.5017334839073969	0.570132693393563	0.5316017316017316
Risky second	0	0.4844481605351171	0.4512845397356267	0.5184744903647078	0.48713983118330945
Risky second	1	0.5950957086391868	0.5650154009034444	0.6253804488989273	0.5907571993224167
Risky second	2	0.611118859401468	0.5824875494071147	0.6464955862977602	0.6316698663655185
Risky second	3	0.5863401091661962	0.5576061076604556	0.6167500705815923	0.599129493694711
Risky second	4	0.6471718426501035	0.6106590062111802	0.6802627329192548	0.6412505175983436
