order	ratio_bin	median	lo	hi	observed
Risky first	0	0.277858933046903	0.2511546723952739	0.3146424095954171	0.26284640171858215
Risky first	1	0.3684479054779807	0.3341621016827783	0.4084204260651629	0.3557715717866094
Risky first	2	0.4798526077097506	0.4464233798782671	0.5179109082229382	0.4816589091777062
Risky first	3	0.5906575963718821	0.5582845208258742	0.624638829215897	0.5905298961689939
Risky first	4	0.6900167084377611	0.6598885905239288	0.723109529776823	0.7046950710108605
Risky first	5	0.7729442654254685	0.7407740780522736	0.8010637307554601	0.7924955245255997
Risky second	0	0.306906552094522	0.2698520408163265	0.33941541353383453	0.30452201933404943
Risky second	1	0.41358694354934955	0.37755480964315546	0.4576366213151927	0.41455424274973146
Risky second	2	0.5483512352309345	0.5059670306719178	0.5860381012053943	0.5570366392170903
Risky second	3	0.6598329156223893	0.6275120241078889	0.6938814894378805	0.6751784222460915
Risky second	4	0.759188447308748	0.7242364840673111	0.7896666965031627	0.7593817878028405
Risky second	5	0.8324605344530156	0.8028999039807311	0.8577117468997169	0.8268730267226508
