order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5461286109340068	0.508967778020299	0.5846437439409575	0.5701588578014938
Risky first	0	vertex	0.5501664876476906	0.5199534903275506	0.5859316011891199	0.5583628985884624
Risky first	1	ips	0.5385035641050679	0.5056222997971118	0.5747460642949365	0.5165086959823803
Risky first	1	vertex	0.5302416564712009	0.49742913385449866	0.563526498478179	0.5254879878586203
Risky first	2	ips	0.5449232930811878	0.5037225070251387	0.5837225829725828	0.5142750816435027
Risky first	2	vertex	0.498298509196342	0.46452023440955326	0.5375033137656976	0.4978310750137376
Risky second	0	ips	0.5435217914917163	0.5122751169048161	0.5786076175286702	0.5539721598368215
Risky second	0	vertex	0.540042205079799	0.5043913246319262	0.5701718202432489	0.4940239125953411
Risky second	1	ips	0.6025640591164696	0.5688028898959903	0.6359856987452078	0.6600632980464913
Risky second	1	vertex	0.5913940153413837	0.5592697463355358	0.6232521265284424	0.5987324371534898
Risky second	2	ips	0.643989410756328	0.6059908781694495	0.6778768674934088	0.6336926732415454
Risky second	2	vertex	0.5833880154932787	0.5460220437457279	0.6179747095010253	0.5966871724766462
