order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.559029685239327	0.526357579235841	0.589087615907607	0.5701588578014938
Risky first	0	vertex	0.5642308151330708	0.530862147251245	0.5982351685490783	0.5583628985884624
Risky first	1	ips	0.5233110915817683	0.4889476260998818	0.5554520988618733	0.5165086959823803
Risky first	1	vertex	0.5312272787903041	0.49873169937831596	0.5626824725105353	0.5254879878586203
Risky first	2	ips	0.5149445583656109	0.4735276828434723	0.5493598959520012	0.5142750816435027
Risky first	2	vertex	0.5055183636452987	0.4677593236656704	0.5447301073539463	0.4978310750137376
Risky second	0	ips	0.5363800735605246	0.4978918101530883	0.570950788768458	0.5539721598368215
Risky second	0	vertex	0.5244298516854908	0.49406680662695707	0.5626652914754418	0.4940239125953411
Risky second	1	ips	0.6127412081259935	0.5774819297735043	0.6435545827581431	0.6600632980464913
Risky second	1	vertex	0.5914023695602643	0.5594976076555024	0.6274159641528062	0.5987324371534898
Risky second	2	ips	0.6289386887131247	0.5958523690177825	0.6662886192754613	0.6336926732415454
Risky second	2	vertex	0.6134506721348826	0.5755764411027569	0.652695165945166	0.5966871724766462
