order	stake_bin	median	lo	hi	observed
Risky first	0	0.5325545830980614	0.4927426830415961	0.566343520609825	0.529399585921325
Risky first	1	0.5675031055900621	0.5361887257669866	0.5989689629211368	0.5938735177865613
Risky first	2	0.5354931300583474	0.5031755834744965	0.5668014775079991	0.5333333333333333
Risky first	3	0.473821287408244	0.4443745294560512	0.5069420525127046	0.463678712591756
Risky first	4	0.536622435535479	0.5001165772633165	0.5736957698099002	0.5316017316017316
Risky second	0	0.4866460423634337	0.44947619047619053	0.5169128244943463	0.48713983118330945
Risky second	1	0.6037890080933559	0.571738179936006	0.6342055524185959	0.5907571993224167
Risky second	2	0.6237982307547525	0.5939123282514587	0.6529254893657067	0.6316698663655185
Risky second	3	0.5918478260869564	0.5576106954639563	0.6242343073593073	0.599129493694711
Risky second	4	0.6435082815734989	0.6082556935817806	0.6737609213250518	0.6412505175983436
