order	stake_bin	median	lo	hi	observed
Risky first	0	0.5370412196499152	0.4997929606625259	0.5697122623753058	0.529399585921325
Risky first	1	0.5707312252964427	0.5410649397703746	0.6018392904197252	0.5938735177865613
Risky first	2	0.5380199510634293	0.5059839073969509	0.5668451204592508	0.5333333333333333
Risky first	3	0.47285667231319406	0.4444558159232072	0.505634999058912	0.463678712591756
Risky first	4	0.5352013928100885	0.4989671560323734	0.57137692923019	0.5316017316017316
Risky second	0	0.48261076604554864	0.4510735188724319	0.5119778866061475	0.48713983118330945
Risky second	1	0.6006237530585357	0.5664489459815547	0.6335518492377188	0.5907571993224167
Risky second	2	0.6230159043854695	0.5876533220402785	0.657037140033879	0.6316698663655185
Risky second	3	0.5912196499153021	0.5562123564840956	0.623976214003388	0.599129493694711
Risky second	4	0.6433726708074534	0.6079516045548654	0.6788729296066254	0.6412505175983436
