order	stake_bin	median	lo	hi	observed
Risky first	0	0.5297007340485601	0.49225837568228875	0.5633142763034067	0.529399585921325
Risky first	1	0.5752526821005082	0.5425625588179936	0.6081727319781667	0.5938735177865613
Risky first	2	0.5418854696028609	0.5086525974025974	0.5772384952004517	0.5333333333333333
Risky first	3	0.478420854507811	0.445992730095991	0.5148384857895727	0.463678712591756
Risky first	4	0.5315217391304348	0.49718555900621114	0.5658081592320723	0.5316017316017316
Risky second	0	0.4859452142060838	0.4514924311196051	0.5203412167542601	0.48713983118330945
Risky second	1	0.5997506117071335	0.5681276115189159	0.63254448522492	0.5907571993224167
Risky second	2	0.6180296442687747	0.5821654432523997	0.6522229672501412	0.6316698663655185
Risky second	3	0.5884693205345379	0.5581797007340487	0.6212697628458498	0.599129493694711
Risky second	4	0.647139751552795	0.6107714803312629	0.6797326604554865	0.6412505175983436
