order	ratio_bin	median	lo	hi	observed
Risky first	0	0.28875223773720016	0.25723782670963125	0.32322135696383814	0.26284640171858215
Risky first	1	0.37747941281775865	0.34543098818474754	0.41279788757608304	0.3557715717866094
Risky first	2	0.48485976846879103	0.4474424453992123	0.5204313163862035	0.4816589091777062
Risky first	3	0.589625850340136	0.5573525182002625	0.6198058539205156	0.5905298961689939
Risky first	4	0.6901658909177706	0.6574087301587301	0.7225172753311849	0.7046950710108605
Risky first	5	0.7708724191430959	0.7393120897481801	0.8021181823606636	0.7924955245255997
Risky second	0	0.30345864661654137	0.2676269244539921	0.3374335839598998	0.30452201933404943
Risky second	1	0.4070288817281299	0.36932796276405294	0.44744927795679673	0.41455424274973146
Risky second	2	0.5392684091180331	0.5028936627282492	0.5756526733500418	0.5570366392170903
Risky second	3	0.6555639097744361	0.6199661654135339	0.6893512949039264	0.6751784222460915
Risky second	4	0.7617036639217091	0.730358843537415	0.7882287564148466	0.7593817878028405
Risky second	5	0.8423620740162093	0.8186582039514371	0.8680368372229275	0.8268730267226508
