curve	stim	payoff	median	lo	hi
n1 (first)	vertex	7.0	0.23750000810902766	0.20361396046108157	0.28296160993033825
n1 (first)	vertex	7.515760138376831	0.23760354708123982	0.20472727038288344	0.2814916457570488
n1 (first)	vertex	8.069521493944878	0.2377719151797046	0.2058786883734023	0.28015915379842493
n1 (first)	vertex	8.664083997137995	0.23798806166468234	0.20705104361568666	0.27867089749025636
n1 (first)	vertex	9.302453877319765	0.23827838580598398	0.20820089587056162	0.27730419213044266
n1 (first)	vertex	9.987858862892699	0.23860995333640994	0.20933214435713413	0.27625148956397694
n1 (first)	vertex	10.723764501351813	0.23902834657090372	0.21046025705418975	0.2752608914101632
n1 (first)	vertex	11.513891681800072	0.23941278644636022	0.21139324370802937	0.2744822181192832
n1 (first)	vertex	12.362235448523078	0.2399106500711839	0.21249645094198072	0.2739842983743358
n1 (first)	vertex	13.2730852007484	0.24049849287268268	0.21346213035068767	0.2738124248700943
n1 (first)	vertex	14.251046380723466	0.24117502041912792	0.21462187341556516	0.273533520227069
n1 (first)	vertex	15.30106375977155	0.24186481655764536	0.21554534235052838	0.2735293802736166
n1 (first)	vertex	16.42844644006477	0.24259634909968794	0.21649600049082504	0.27374859308695926
n1 (first)	vertex	17.638894698528226	0.24345440051779238	0.21740449952161578	0.27417749610946784
n1 (first)	vertex	18.93852880860355	0.2443052420206454	0.21840682714512138	0.2748833534633143
n1 (first)	vertex	20.33391998560055	0.2452460106640402	0.2193747614666594	0.27608857515843094
n1 (first)	vertex	21.83212361210294	0.24624434762083053	0.22018243816108266	0.2774289592709544
n1 (first)	vertex	23.440714911422702	0.24733446428394107	0.2209778114726392	0.2789735086608853
n1 (first)	vertex	25.16782724947516	0.2484336241396121	0.22181372692182896	0.2806068551253586
n1 (first)	vertex	27.02219325873709	0.24962059223165647	0.22273991566924864	0.2824462578552127
n1 (first)	vertex	29.013188992218765	0.2509060354614842	0.2235062282797784	0.28446855675493204
n1 (first)	vertex	31.15088133070163	0.2522510904541297	0.22424415313457474	0.2867785717049447
n1 (first)	vertex	33.44607888294205	0.2536815568486668	0.22504419664726005	0.2892416279432815
n1 (first)	vertex	35.91038663620328	0.25513523300666663	0.2258114443441131	0.29210456540490404
n1 (first)	vertex	38.55626463343955	0.2566500381500398	0.22655939305781841	0.2951498847412701
n1 (first)	vertex	41.39709097381619	0.25830235140444174	0.22732705470217773	0.2983164623791018
n1 (first)	vertex	44.44722945510958	0.2599852639620495	0.22795112702946513	0.3016436075346393
n1 (first)	vertex	47.722102200000165	0.2617682661529216	0.22858154555989438	0.3053157526401753
n1 (first)	vertex	51.23826763347236	0.2636295276229227	0.22935239722804565	0.3090899336040375
n1 (first)	vertex	55.01350420559077	0.26553164387649564	0.23023440921624394	0.31311135599235773
n1 (first)	vertex	59.066900282972185	0.26746928161932115	0.23101267369708198	0.317114916420822
n1 (first)	vertex	63.41895066346308	0.2695484698789713	0.23180415630827145	0.3214099835142292
n1 (first)	vertex	68.09166020202038	0.27170431536281836	0.23254183948647852	0.325933568373521
n1 (first)	vertex	73.10865507174927	0.27396464075953125	0.23340428127666474	0.3307509221261977
n1 (first)	vertex	78.49530222265635	0.2762632596302903	0.23401026803059227	0.33582593805002414
n1 (first)	vertex	84.27883764212612	0.2786041880010371	0.2347331455590378	0.3407785987136803
n1 (first)	vertex	90.48850406563214	0.28109937746268104	0.2355639433850387	0.3457682853754982
n1 (first)	vertex	97.15569883397542	0.2836582686254954	0.23642400686043774	0.3512788276477457
n1 (first)	vertex	104.31413264464813	0.2862076552242165	0.2373055293894412	0.35689935008757545
n1 (first)	vertex	112.0	0.2888568474056018	0.2383232224258432	0.36256801102554437
n2 (second)	vertex	7.0	0.13006631977873534	0.10724736959724383	0.15315929419068552
n2 (second)	vertex	7.515760138376831	0.13168977217914385	0.10938207543066436	0.15412983591251905
n2 (second)	vertex	8.069521493944878	0.1333240679342521	0.11158195779532233	0.1551753173177473
n2 (second)	vertex	8.664083997137995	0.13503878127774185	0.11375590257961862	0.15611267654266717
n2 (second)	vertex	9.302453877319765	0.13676935818287222	0.11598417264149692	0.15725684440151108
n2 (second)	vertex	9.987858862892699	0.1385551483894581	0.11830596290856728	0.1584156045822691
n2 (second)	vertex	10.723764501351813	0.14038500462742962	0.12076893845082455	0.15963087323395678
n2 (second)	vertex	11.513891681800072	0.14227483392763574	0.12316228691871925	0.1609281536579009
n2 (second)	vertex	12.362235448523078	0.144205369395427	0.12563366299034692	0.1622626647419461
n2 (second)	vertex	13.2730852007484	0.14620638250546675	0.12812696281589356	0.16370608642127404
n2 (second)	vertex	14.251046380723466	0.1482435026090852	0.13065545572031914	0.16517148162952594
n2 (second)	vertex	15.30106375977155	0.1503384276084683	0.13325287072427391	0.16678648176100064
n2 (second)	vertex	16.42844644006477	0.1524855336506396	0.13587842207606052	0.16841629942254188
n2 (second)	vertex	17.638894698528226	0.15468260769311448	0.13865854936530894	0.17013041376588459
n2 (second)	vertex	18.93852880860355	0.15697101305912795	0.14142108722251193	0.1718944481956332
n2 (second)	vertex	20.33391998560055	0.15935525470904502	0.14424419905610175	0.1739035646534665
n2 (second)	vertex	21.83212361210294	0.16175276863274018	0.14700203880593696	0.17613934128741338
n2 (second)	vertex	23.440714911422702	0.16421366281059596	0.14976311595068942	0.17846836607391436
n2 (second)	vertex	25.16782724947516	0.166717272181737	0.15264296264668395	0.180954877717885
n2 (second)	vertex	27.02219325873709	0.16928203765314465	0.15545650923853535	0.1834730105822907
n2 (second)	vertex	29.013188992218765	0.17194292725004878	0.15825751254745213	0.18638788520259505
n2 (second)	vertex	31.15088133070163	0.17467999631290526	0.1610757847230477	0.18923883304225067
n2 (second)	vertex	33.44607888294205	0.17746449321070895	0.16372309568295687	0.19240860520515232
n2 (second)	vertex	35.91038663620328	0.18036651952526486	0.16637183062279023	0.1957347283889013
n2 (second)	vertex	38.55626463343955	0.1833096285013331	0.16901378609859796	0.19922008502608687
n2 (second)	vertex	41.39709097381619	0.18636450845674923	0.17153019476250578	0.20295465771697352
n2 (second)	vertex	44.44722945510958	0.18946282734567582	0.17404090268836198	0.20701372723713024
n2 (second)	vertex	47.722102200000165	0.19265070580358334	0.17649064837939493	0.21110265444705237
n2 (second)	vertex	51.23826763347236	0.19593012022159162	0.1788479865548045	0.21544159225683768
n2 (second)	vertex	55.01350420559077	0.19931923581702513	0.1812223416103904	0.21994438871865832
n2 (second)	vertex	59.066900282972185	0.20279254965507187	0.18358887561910422	0.2247122703141489
n2 (second)	vertex	63.41895066346308	0.20638030901112486	0.18599143371370558	0.22968735062229506
n2 (second)	vertex	68.09166020202038	0.21006593705401444	0.1883953734977081	0.23498709537110787
n2 (second)	vertex	73.10865507174927	0.21377610931826746	0.19089137437931822	0.24052968505228978
n2 (second)	vertex	78.49530222265635	0.21761565949801692	0.1933203914356852	0.2462991690595795
n2 (second)	vertex	84.27883764212612	0.22152159771387195	0.1958498524152028	0.25220337009320787
n2 (second)	vertex	90.48850406563214	0.2255162115863128	0.1983746426715369	0.2583505753477151
n2 (second)	vertex	97.15569883397542	0.22959826215279303	0.20102563462986522	0.26477160325459664
n2 (second)	vertex	104.31413264464813	0.23382654378999085	0.20357363444790302	0.2712728709860653
n2 (second)	vertex	112.0	0.23813888576253434	0.20618628401129327	0.27813569715912306
n1 (first)	ips	7.0	0.2538760137228224	0.2159614633557494	0.30408597601771925
n1 (first)	ips	7.515760138376831	0.25340308640337394	0.21667173396101985	0.30200689321454416
n1 (first)	ips	8.069521493944878	0.25303808118137194	0.21738337040563227	0.29984839075209174
n1 (first)	ips	8.664083997137995	0.25266694747079543	0.21814440767093068	0.2977998889774141
n1 (first)	ips	9.302453877319765	0.2523169204257807	0.2187267286456085	0.29581185369063173
n1 (first)	ips	9.987858862892699	0.25193519415273685	0.21926898288104318	0.2940050428745884
n1 (first)	ips	10.723764501351813	0.25160387036789933	0.2198321491306402	0.29213597420587395
n1 (first)	ips	11.513891681800072	0.2512746220470995	0.22047885570612824	0.2903607290256289
n1 (first)	ips	12.362235448523078	0.25100216590094315	0.22109865347205326	0.2886681464617147
n1 (first)	ips	13.2730852007484	0.2506940467707224	0.2216434448209707	0.2869326221033061
n1 (first)	ips	14.251046380723466	0.2504033412325537	0.22204331390003162	0.2854764447215147
n1 (first)	ips	15.30106375977155	0.2501536297553102	0.22260901743374453	0.2839729697224743
n1 (first)	ips	16.42844644006477	0.24988363790721718	0.22295791533953116	0.28263022307796754
n1 (first)	ips	17.638894698528226	0.24960781925262876	0.22320690608569457	0.28144120608538736
n1 (first)	ips	18.93852880860355	0.24940983565993713	0.22338863758435903	0.2802744832862484
n1 (first)	ips	20.33391998560055	0.2491750133986372	0.22350628914547327	0.27933444085710124
n1 (first)	ips	21.83212361210294	0.24899165967061765	0.2236100716214236	0.27842310692320227
n1 (first)	ips	23.440714911422702	0.24881151731545947	0.22364162202132132	0.27767400587375624
n1 (first)	ips	25.16782724947516	0.2486187335864699	0.22361696849431317	0.2768514615828817
n1 (first)	ips	27.02219325873709	0.2484429928530364	0.22354240356972357	0.27637626357425804
n1 (first)	ips	29.013188992218765	0.24829593108746345	0.22347107000241986	0.2762310271448677
n1 (first)	ips	31.15088133070163	0.2481505627470253	0.22323661834416345	0.2761606293445556
n1 (first)	ips	33.44607888294205	0.24806436642454463	0.2228774171925848	0.27618356223730506
n1 (first)	ips	35.91038663620328	0.24793034313227574	0.22251690418408726	0.2761504049012172
n1 (first)	ips	38.55626463343955	0.247786638965663	0.22213584239961262	0.2765154988005913
n1 (first)	ips	41.39709097381619	0.24759119881689465	0.22168958392335156	0.27675563060405395
n1 (first)	ips	44.44722945510958	0.24746861223419492	0.22122177956230926	0.2774317655226014
n1 (first)	ips	47.722102200000165	0.24742874684491525	0.220658725710638	0.27809985648545715
n1 (first)	ips	51.23826763347236	0.24731668161034576	0.22003905282903488	0.2788685532073985
n1 (first)	ips	55.01350420559077	0.2472539880115912	0.2192717903411682	0.2798218518726831
n1 (first)	ips	59.066900282972185	0.24714889507702315	0.21840522837363383	0.28081555370207334
n1 (first)	ips	63.41895066346308	0.2471387759336791	0.21761464483964596	0.28198149148985246
n1 (first)	ips	68.09166020202038	0.2471231496769637	0.21675541268218884	0.28314275253575594
n1 (first)	ips	73.10865507174927	0.24707580672489599	0.2159238909660343	0.2843987178191489
n1 (first)	ips	78.49530222265635	0.24709343256867278	0.21512814119227225	0.28579176908785353
n1 (first)	ips	84.27883764212612	0.24704634559555233	0.21420797160412058	0.28706865076835597
n1 (first)	ips	90.48850406563214	0.24709503017745765	0.21330784184615662	0.2885642882657008
n1 (first)	ips	97.15569883397542	0.2471560479997959	0.21231705299094025	0.2901064344059165
n1 (first)	ips	104.31413264464813	0.24718399031760507	0.21127284636193283	0.29191868982037317
n1 (first)	ips	112.0	0.2471831328637391	0.21038017000391285	0.2936149436068597
n2 (second)	ips	7.0	0.13006631977873534	0.10724736959724383	0.15315929419068552
n2 (second)	ips	7.515760138376831	0.13168977217914385	0.10938207543066436	0.15412983591251905
n2 (second)	ips	8.069521493944878	0.1333240679342521	0.11158195779532233	0.1551753173177473
n2 (second)	ips	8.664083997137995	0.13503878127774185	0.11375590257961862	0.15611267654266717
n2 (second)	ips	9.302453877319765	0.13676935818287222	0.11598417264149692	0.15725684440151108
n2 (second)	ips	9.987858862892699	0.1385551483894581	0.11830596290856728	0.1584156045822691
n2 (second)	ips	10.723764501351813	0.14038500462742962	0.12076893845082455	0.15963087323395678
n2 (second)	ips	11.513891681800072	0.14227483392763574	0.12316228691871925	0.1609281536579009
n2 (second)	ips	12.362235448523078	0.144205369395427	0.12563366299034692	0.1622626647419461
n2 (second)	ips	13.2730852007484	0.14620638250546675	0.12812696281589356	0.16370608642127404
n2 (second)	ips	14.251046380723466	0.1482435026090852	0.13065545572031914	0.16517148162952594
n2 (second)	ips	15.30106375977155	0.1503384276084683	0.13325287072427391	0.16678648176100064
n2 (second)	ips	16.42844644006477	0.1524855336506396	0.13587842207606052	0.16841629942254188
n2 (second)	ips	17.638894698528226	0.15468260769311448	0.13865854936530894	0.17013041376588459
n2 (second)	ips	18.93852880860355	0.15697101305912795	0.14142108722251193	0.1718944481956332
n2 (second)	ips	20.33391998560055	0.15935525470904502	0.14424419905610175	0.1739035646534665
n2 (second)	ips	21.83212361210294	0.16175276863274018	0.14700203880593696	0.17613934128741338
n2 (second)	ips	23.440714911422702	0.16421366281059596	0.14976311595068942	0.17846836607391436
n2 (second)	ips	25.16782724947516	0.166717272181737	0.15264296264668395	0.180954877717885
n2 (second)	ips	27.02219325873709	0.16928203765314465	0.15545650923853535	0.1834730105822907
n2 (second)	ips	29.013188992218765	0.17194292725004878	0.15825751254745213	0.18638788520259505
n2 (second)	ips	31.15088133070163	0.17467999631290526	0.1610757847230477	0.18923883304225067
n2 (second)	ips	33.44607888294205	0.17746449321070895	0.16372309568295687	0.19240860520515232
n2 (second)	ips	35.91038663620328	0.18036651952526486	0.16637183062279023	0.1957347283889013
n2 (second)	ips	38.55626463343955	0.1833096285013331	0.16901378609859796	0.19922008502608687
n2 (second)	ips	41.39709097381619	0.18636450845674923	0.17153019476250578	0.20295465771697352
n2 (second)	ips	44.44722945510958	0.18946282734567582	0.17404090268836198	0.20701372723713024
n2 (second)	ips	47.722102200000165	0.19265070580358334	0.17649064837939493	0.21110265444705237
n2 (second)	ips	51.23826763347236	0.19593012022159162	0.1788479865548045	0.21544159225683768
n2 (second)	ips	55.01350420559077	0.19931923581702513	0.1812223416103904	0.21994438871865832
n2 (second)	ips	59.066900282972185	0.20279254965507187	0.18358887561910422	0.2247122703141489
n2 (second)	ips	63.41895066346308	0.20638030901112486	0.18599143371370558	0.22968735062229506
n2 (second)	ips	68.09166020202038	0.21006593705401444	0.1883953734977081	0.23498709537110787
n2 (second)	ips	73.10865507174927	0.21377610931826746	0.19089137437931822	0.24052968505228978
n2 (second)	ips	78.49530222265635	0.21761565949801692	0.1933203914356852	0.2462991690595795
n2 (second)	ips	84.27883764212612	0.22152159771387195	0.1958498524152028	0.25220337009320787
n2 (second)	ips	90.48850406563214	0.2255162115863128	0.1983746426715369	0.2583505753477151
n2 (second)	ips	97.15569883397542	0.22959826215279303	0.20102563462986522	0.26477160325459664
n2 (second)	ips	104.31413264464813	0.23382654378999085	0.20357363444790302	0.2712728709860653
n2 (second)	ips	112.0	0.23813888576253434	0.20618628401129327	0.27813569715912306
