ratio_bin	median	lo	hi	observed
0	0.2922619047619047	0.26800320512820514	0.31891987179487175	0.2837728937728938
1	0.3923684210526316	0.36469975419317524	0.41946264700212066	0.38512434933487566
2	0.5154925775978407	0.4904374879506458	0.5399630325814536	0.5198178137651822
3	0.6247406978985925	0.6006274339695392	0.6477525544630807	0.6326055523423945
4	0.7233333333333334	0.7012873048004628	0.7479281617505301	0.7321900906111433
5	0.8024175824175823	0.7836991758241758	0.8224542124542125	0.8095604395604395
