order	stake_bin	median	lo	hi	observed
Risky first	0	0.5392810088462263	0.5012554112554112	0.5753212638810465	0.529399585921325
Risky first	1	0.5698857519292302	0.5395357425183511	0.5981773150762281	0.5938735177865613
Risky first	2	0.534674383587427	0.5067787737624694	0.5662136504799548	0.5333333333333333
Risky first	3	0.4713721061547148	0.445367141916055	0.5033702710333144	0.463678712591756
Risky first	4	0.5320440429136082	0.49489895068699413	0.564819899303595	0.5316017316017316
Risky second	0	0.5037110208631947	0.47410779582736107	0.5356897555343207	0.48713983118330945
Risky second	1	0.596576416337286	0.5654957745153397	0.6255720779220779	0.5907571993224167
Risky second	2	0.6043517786561265	0.5750456239412761	0.6351651232825145	0.6316698663655185
Risky second	3	0.5753529079616037	0.5453891398456615	0.6030688876341049	0.599129493694711
Risky second	4	0.658251552795031	0.6266193064182195	0.6886453933747413	0.6412505175983436
