order	stake_bin	median	lo	hi	observed
Risky first	0	0.535935441370224	0.499901185770751	0.5719881658196876	0.529399585921325
Risky first	1	0.5673647656691134	0.5386800583474496	0.5969810464897422	0.5938735177865613
Risky first	2	0.53065358554489	0.5015411490683229	0.5626882175795219	0.5333333333333333
Risky first	3	0.47487060041407864	0.4427524468285338	0.5086585968379447	0.463678712591756
Risky first	4	0.5368059476755129	0.502516939582157	0.5699756493506493	0.5316017316017316
Risky second	0	0.48438660614747564	0.4512631947762382	0.5208656872113394	0.48713983118330945
Risky second	1	0.6016535855448899	0.5683842744212309	0.6320815782044044	0.5907571993224167
Risky second	2	0.6229923771880294	0.5909220543948805	0.6528133305100696	0.6316698663655185
Risky second	3	0.5919536984754377	0.5570688641069076	0.6196828533785056	0.599129493694711
Risky second	4	0.6424016563146998	0.6044272774327122	0.6776317805383022	0.6412505175983436
