order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5575861827984783	0.5206549102894746	0.5907130649708049	0.5701588578014938
Risky first	0	vertex	0.560633672926906	0.5241508506113769	0.594972821664551	0.5583628985884624
Risky first	1	ips	0.520973537740455	0.4898445789799173	0.5550579479000531	0.5165086959823803
Risky first	1	vertex	0.5199694327491762	0.48667556464372036	0.5510877263185976	0.5254879878586203
Risky first	2	ips	0.5096684894053316	0.4725147338042075	0.5497682843472317	0.5142750816435027
Risky first	2	vertex	0.5118730203405126	0.47433989943664867	0.5478362461411997	0.4978310750137376
Risky second	0	ips	0.5341045796308954	0.5013801576451953	0.5672963659147869	0.5539721598368215
Risky second	0	vertex	0.5341330056743592	0.4989448974167019	0.5676557112478166	0.4940239125953411
Risky second	1	ips	0.6103595537098412	0.57516942183572	0.6404141123754127	0.6600632980464913
Risky second	1	vertex	0.6025753778385357	0.5747621326042378	0.6403991607807398	0.5987324371534898
Risky second	2	ips	0.6205813776866409	0.5853001144636484	0.6557887006477232	0.6336926732415454
Risky second	2	vertex	0.6210313662945242	0.5810936242120452	0.654841706539075	0.5966871724766462
