order	stake_bin	median	lo	hi	observed
Risky first	0	0.5431371165066817	0.5052704451345756	0.5784075616412573	0.529399585921325
Risky first	1	0.5695706757011105	0.5381688641069076	0.5988492330133635	0.5938735177865613
Risky first	2	0.5286631846414455	0.5003353801995106	0.5602797383775645	0.5333333333333333
Risky first	3	0.4685182571052136	0.43822322604931296	0.4990644409937888	0.463678712591756
Risky first	4	0.5424195369847543	0.505139163372859	0.5744684029738377	0.5316017316017316
Risky second	0	0.48503567447045703	0.4549375895843287	0.519188071348941	0.48713983118330945
Risky second	1	0.5996599849425936	0.5736101025785808	0.6332831827592696	0.5907571993224167
Risky second	2	0.6187043101825711	0.5860342979484284	0.6533735930735931	0.6316698663655185
Risky second	3	0.5881775832862789	0.5523573075475249	0.618932453416149	0.599129493694711
Risky second	4	0.6463447204968944	0.6077482919254658	0.6770810559006212	0.6412505175983436
