order	stimulation_condition	median	lo	hi	observed
Risky first	ips	0.535994975217652	0.5117945607869628	0.5586634059978596	0.5337960636674839
Risky first	vertex	0.5270848569932348	0.504345439775767	0.5518023709969528	0.5280256926944052
Risky second	ips	0.6143667127868097	0.589005029978093	0.6386914972054835	0.6158696377748244
Risky second	vertex	0.5613653947844479	0.5381720102418525	0.5843982842114052	0.563302162478083
