param	regressor	mean	lo	hi	p_gt0
n1_evidence_sd_spline1	Intercept	-1.4960920888169253	-1.745657439655477	-1.250185230551811	0.0
n1_evidence_sd_spline2	Intercept	0.03893078652513879	-0.03923264974256764	0.11788556302125006	0.8382
n2_evidence_sd_spline1	Intercept	-2.364282546012257	-3.4805501539557757	-1.7859164531307818	0.0
n2_evidence_sd_spline1	stimulation_condition[T.vertex]	-0.5622151797215207	-1.3669014024775352	0.04634329352112119	0.03895
n2_evidence_sd_spline2	Intercept	0.1864507796965168	0.01267257949884282	0.4715282133888116	0.98335
n2_evidence_sd_spline2	stimulation_condition[T.vertex]	0.13752817019587743	-0.05118453106791432	0.3652979266930924	0.91125
risky_prior_mu	Intercept	3.346636806215266	2.891015723572294	3.9720606653128514	1.0
risky_prior_sd	Intercept	-0.30229012901255636	-0.7033622494372652	0.1791242499000165	0.10645
safe_prior_mu	Intercept	3.219708137997143	2.1065078403674655	4.841118793194329	1.0
safe_prior_sd	Intercept	0.4399710296713316	-0.25297014465744216	1.4448986998862035	0.85965
