quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	17.456314114059918	14.918491352333314	20.433142400996783	
Safe prior mean (CHF)	all	8.252647213837635	6.307691463872582	10.918648777871237	
Risky prior spread (x/÷)	all	1.4551903295251782	1.4095375685413656	1.510773796076604	
memory noise @ 7 CHF	all	0.7684396628912519	0.7259882896968429	0.8149676128322785	
memory noise @ 112 CHF	all	3.034927403533204	1.5911999438691478	4.609985157067735	
perceptual noise @ 7 CHF	ips	0.1956418788455835	0.17834875955502325	0.2141044326234941	
perceptual noise @ 7 CHF	vertex	0.20672638966974247	0.18826781799172593	0.22697189742377286	
perceptual noise @ 7 CHF	IPS - vertex	-0.011084510824158946	-0.027386941019745807	0.005018514523002038	0.08625
perceptual noise @ 112 CHF	ips	0.1397484724775931	0.023413891262879166	0.43730336258338226	
perceptual noise @ 112 CHF	vertex	0.022410354799338093	0.0028086614014513783	0.08205144436701452	
perceptual noise @ 112 CHF	IPS - vertex	0.117338117678255	0.015465324489535059	0.383188930493315	0.9983
