order	stimulation_condition	median	lo	hi	observed
Risky first	ips	0.542858015742294	0.5214510760523327	0.5672642571241343	0.5337960636674839
Risky first	vertex	0.5268916192814159	0.5054283974009992	0.5515717172620969	0.5280256926944052
Risky second	ips	0.5961155157870464	0.5722471933465626	0.6206953013587236	0.6158696377748244
Risky second	vertex	0.5718866716762684	0.5514066265898528	0.592069904817567	0.563302162478083
