quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	29.431099803023418	20.100579342148205	47.85726264455154	
Safe prior mean (CHF)	all	41.095401319657235	10.528306720169406	144.26316494401846	
Risky prior spread (x/÷)	all	1.7411015348125685	1.517398876180185	2.0680119620936863	
Safe prior spread (x/÷)	all	2.721496956154967	1.8245881653975788	5.204243058939653	
n1 noise @ 7 CHF	all	0.20301096236996247	0.16227588738287066	0.24894807790668935	
n1 noise @ 112 CHF	all	0.712922840725904	0.6747142361212091	0.7528079709920786	
n2 noise @ 7 CHF	ips	0.09535640731706158	0.029941388958955956	0.15177568266007468	
n2 noise @ 7 CHF	vertex	0.058902497344893175	0.011484645875593008	0.10521516103260516	
n2 noise @ 7 CHF	IPS - vertex	0.0364539099721684	-0.003401606566307182	0.09120938318051953	0.962
n2 noise @ 112 CHF	ips	0.7921723126710519	0.702236076077089	0.9398695222303776	
n2 noise @ 112 CHF	vertex	0.8706281170079027	0.7577580790632896	1.0928114454896083	
n2 noise @ 112 CHF	IPS - vertex	-0.07845580433685076	-0.2172561429497009	0.024970468034189792	0.0793
