order	ratio_bin	median	lo	hi	observed
Risky first	0	0.27456498388829215	0.24388095238095236	0.31075384890798424	0.26284640171858215
Risky first	1	0.3684031507339778	0.33814598997493733	0.4060856605800215	0.3557715717866094
Risky first	2	0.48195488721804514	0.4460074292875045	0.5156312507459123	0.4816589091777062
Risky first	3	0.5919083422842821	0.5617796276405298	0.623376387397064	0.5905298961689939
Risky first	4	0.6945828857858933	0.6599907805227354	0.7282188805346699	0.7046950710108605
Risky first	5	0.7760496479293473	0.7413702112423918	0.8080141723356009	0.7924955245255997
Risky second	0	0.3130862871464375	0.2773534729681346	0.35051915503043324	0.30452201933404943
Risky second	1	0.42145124716553284	0.3873610812746151	0.4594015693996896	0.41455424274973146
Risky second	2	0.5565288220551379	0.5138607232366631	0.5902481799737438	0.5570366392170903
Risky second	3	0.6615133070772169	0.62950119345984	0.6972107351712614	0.6751784222460915
Risky second	4	0.7547654851414249	0.7222220133667502	0.78400014918248	0.7593817878028405
Risky second	5	0.8199620805259903	0.7932771946099013	0.8460106841779773	0.8268730267226508
