order	stimulation_condition	median	lo	hi	observed
Risky first	ips	0.5305985209024368	0.5080914473700856	0.5551472563575135	0.5337960636674839
Risky first	vertex	0.5294689754208588	0.506605496577187	0.5504996817738588	0.5280256926944052
Risky second	ips	0.5983194669482422	0.5764081071322374	0.6191829551178187	0.6158696377748244
Risky second	vertex	0.5753126826417301	0.5551184144610504	0.5987481422726894	0.563302162478083
