param	regressor	mean	lo	hi	p_gt0
n1_evidence_sd_spline1	Intercept	-1.3702162709176033	-1.6005040378817283	-1.144225230043992	0.0
n1_evidence_sd_spline1	stimulation_condition[T.vertex]	0.003011400237821786	-0.22618376554224198	0.22397217481996773	0.5163
n1_evidence_sd_spline2	Intercept	-1.2324698722944092	-1.4359731185558346	-1.020853992959259	0.0
n1_evidence_sd_spline2	stimulation_condition[T.vertex]	0.10178741570853979	-0.13174857974047152	0.3448680856608099	0.8055
n2_evidence_sd_spline1	Intercept	-1.9920251467563561	-2.371167607694486	-1.6722954329588011	0.0
n2_evidence_sd_spline1	stimulation_condition[T.vertex]	-0.5449835478427358	-0.8992625136630386	-0.17608693386077823	0.0021
n2_evidence_sd_spline2	Intercept	-1.3540258489228583	-1.5778105788073002	-1.1253114038481808	0.0
n2_evidence_sd_spline2	stimulation_condition[T.vertex]	0.19207453755618314	-0.11051800832853885	0.48431259731436627	0.9034
risky_prior_mu	Intercept	3.0402775911202022	2.730043001048126	3.381653081095545	1.0
risky_prior_sd	Intercept	-0.6105590096843911	-0.8700026507769687	-0.33496154567124237	0.0
safe_prior_mu	Intercept	2.529707653293879	2.08573823731883	3.0276773380126096	1.0
safe_prior_sd	Intercept	-0.13035119011312157	-0.5796723136898194	0.4315168362359787	0.28165
