order	stake_bin	median	lo	hi	observed
Risky first	0	0.5419066440805571	0.5103938452851496	0.5729017268962922	0.529399585921325
Risky first	1	0.5757308488612836	0.5485292584227367	0.6063412243553548	0.5938735177865613
Risky first	2	0.538375211744777	0.507174971767363	0.5678556135893092	0.5333333333333333
Risky first	3	0.47836438923395447	0.446311405985319	0.510333262751741	0.463678712591756
Risky first	4	0.535653115000941	0.4995875682288726	0.5706672313194052	0.5316017316017316
Risky second	0	0.4823917025003982	0.45140567765567763	0.5158150183150184	0.48713983118330945
Risky second	1	0.5955339732731038	0.5625371447393187	0.626640358554489	0.5907571993224167
Risky second	2	0.6113616600790514	0.5830885940146808	0.6409087521174478	0.6316698663655185
Risky second	3	0.5855590062111802	0.5520718050065876	0.6148453086768304	0.599129493694711
Risky second	4	0.6452691511387163	0.6106812629399585	0.6789363354037267	0.6412505175983436
