quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	26.553662905804625	20.0190882255836	34.54203925452266	
Safe prior mean (CHF)	all	10.614492411987145	4.758882873278738	19.688933749670184	
Risky prior spread (x/÷)	all	1.715359799524898	1.5366257596654862	1.9476598240122005	
Safe prior spread (x/÷)	all	2.493314141659529	1.7800791873976556	3.947980747757845	
memory noise @ 7 CHF	ips	0.9328849200714247	0.7883989875844019	1.0926900354186793	
memory noise @ 7 CHF	vertex	1.0963099597343589	0.9251117069098834	1.290891491273909	
memory noise @ 7 CHF	IPS - vertex	-0.16342503966293437	-0.28762542862640544	-0.05086233194330441	0.00215
memory noise @ 112 CHF	ips	0.8100218002115235	0.7242561069671393	0.9091850651170335	
memory noise @ 112 CHF	vertex	0.7378850853012645	0.6462763102418243	0.8393546863665636	
memory noise @ 112 CHF	IPS - vertex	0.07213671491025889	-0.024244116499066548	0.17040615965204484	0.93005
perceptual noise @ 7 CHF	ips	0.16030519990919212	0.133511268251505	0.18973018665131405	
perceptual noise @ 7 CHF	vertex	0.10129862265021018	0.08220759547947144	0.12183306812424416	
perceptual noise @ 7 CHF	IPS - vertex	0.059006577258981965	0.04022875759024935	0.08055917290353386	1.0
perceptual noise @ 112 CHF	ips	0.22543116851322711	0.1923535293491562	0.2619205867381355	
perceptual noise @ 112 CHF	vertex	0.3456274321763258	0.28280989494807235	0.4170084610084451	
perceptual noise @ 112 CHF	IPS - vertex	-0.1201962636630987	-0.17493003596706752	-0.07327459654203124	0.0
