order	ratio_bin	median	lo	hi	observed
Risky first	0	0.2825116362334408	0.2496262083780881	0.31708646616541347	0.26284640171858215
Risky first	1	0.37757966344432514	0.3357255639097744	0.4107838345864661	0.3557715717866094
Risky first	2	0.4912996777658432	0.45701211361737676	0.5282845506623702	0.4816589091777062
Risky first	3	0.597592791502566	0.5661392469268409	0.6299242749731472	0.5905298961689939
Risky first	4	0.6957930540637307	0.6624018379281538	0.7236707542666189	0.7046950710108605
Risky first	5	0.7718212197159565	0.739858157298007	0.7994615407566535	0.7924955245255997
Risky second	0	0.30037952022914427	0.2675333870390261	0.3365535266738274	0.30452201933404943
Risky second	1	0.4145918367346939	0.37873851294903926	0.4531750208855472	0.41455424274973146
Risky second	2	0.5467531925050721	0.5125721446473326	0.5855650733977801	0.5570366392170903
Risky second	3	0.6609678959303019	0.627266499582289	0.6977953216374269	0.6751784222460915
Risky second	4	0.7545512591001313	0.7252403628117914	0.7859719835302542	0.7593817878028405
Risky second	5	0.8251637209907887	0.7973078394037041	0.8517079549523159	0.8268730267226508
