quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	18.52891555164378	15.834146529087002	22.40427746850468	
Safe prior mean (CHF)	all	9.513455549306991	6.5908374939022085	14.546241988709212	
Risky prior spread (x/÷)	all	1.567315931133131	1.4407676180053455	1.723138896855031	
Safe prior spread (x/÷)	all	1.9242883334447776	1.6073905175893783	2.42988969927401	
n1 noise @ 7 CHF	ips	0.25946786155869006	0.18912443424281036	0.3327818156832519	
n1 noise @ 7 CHF	vertex	0.1770036320577615	0.13617723173597515	0.22606896518227992	
n1 noise @ 7 CHF	IPS - vertex	0.08246422950092851	0.01223339537683276	0.15043305867512868	0.9902
n1 noise @ 112 CHF	ips	0.6728014858514237	0.6319813937728755	0.7216033238116063	
n1 noise @ 112 CHF	vertex	0.7297422056914227	0.6873772927153637	0.7746303249976175	
n1 noise @ 112 CHF	IPS - vertex	-0.05694071983999876	-0.10345065785362713	-0.006270577430055058	0.0156
n2 noise @ 7 CHF	all	0.08831062171369253	0.06207316190759441	0.11832850607799045	
n2 noise @ 112 CHF	all	0.7879917373539267	0.7386223133015811	0.8422386272217288	
