order	ratio_bin	median	lo	hi	observed
Risky first	0	0.2789939133548156	0.24762343358395988	0.3118840852130325	0.26284640171858215
Risky first	1	0.3727783745076978	0.3377764052989617	0.41040789473684214	0.3557715717866094
Risky first	2	0.4806319369853205	0.4454441162429884	0.5203380474997016	0.4816589091777062
Risky first	3	0.5926978159684926	0.5564398197875641	0.6276233440744718	0.5905298961689939
Risky first	4	0.6932223415682063	0.6583505191550304	0.725580200501253	0.7046950710108605
Risky first	5	0.7787241914309584	0.7501760651629072	0.8086850459482038	0.7924955245255997
Risky second	0	0.31180451127819553	0.27315091299677763	0.3503855173648407	0.30452201933404943
Risky second	1	0.41960675498269484	0.38167394677169114	0.45802118391216134	0.41455424274973146
Risky second	2	0.5521541950113379	0.5170500358037953	0.5913961988304094	0.5570366392170903
Risky second	3	0.6612292636352787	0.6300722938298126	0.692516887456737	0.6751784222460915
Risky second	4	0.7532116004296454	0.7189005549588257	0.7868532342761666	0.7593817878028405
Risky second	5	0.8204026299515021	0.7803111512547602	0.8518670458614068	0.8268730267226508
