order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.566422884943451	0.5239702938591705	0.6100177246337132	0.5701588578014938
Risky first	0	vertex	0.5547634779589667	0.5151436220421183	0.5920152871355878	0.5583628985884624
Risky first	1	ips	0.5316125269884668	0.49438664301446256	0.5697824946565547	0.5165086959823803
Risky first	1	vertex	0.5361806827994355	0.49645662523382555	0.5769378684488149	0.5254879878586203
Risky first	2	ips	0.5095534290271133	0.46340208475734795	0.5478461114908483	0.5142750816435027
Risky first	2	vertex	0.48718547706163806	0.4557009681065408	0.5236961476775718	0.4978310750137376
Risky second	0	ips	0.5611443109939351	0.5154340721934707	0.6047959970272	0.5539721598368215
Risky second	0	vertex	0.49486481354902406	0.449699215571396	0.5321653619980686	0.4940239125953411
Risky second	1	ips	0.6466295321956534	0.6093218558555799	0.6831121882564829	0.6600632980464913
Risky second	1	vertex	0.5901313890787575	0.5535734411787043	0.6289525138604086	0.5987324371534898
Risky second	2	ips	0.6371442675953954	0.597132886328375	0.6721265392919528	0.6336926732415454
Risky second	2	vertex	0.6030842257158047	0.5656008961798435	0.642018341307815	0.5966871724766462
