order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5638227539819756	0.524591088428992	0.6006991388261843	0.5701588578014938
Risky first	0	vertex	0.5518354869858628	0.5182973152578415	0.5831363880480422	0.5583628985884624
Risky first	1	ips	0.5257834521368356	0.4924883963154639	0.5594092970521543	0.5165086959823803
Risky first	1	vertex	0.5273689220504789	0.49513053131938584	0.5577312714559508	0.5254879878586203
Risky first	2	ips	0.5040871117186907	0.4645728335991494	0.5430219298245613	0.5142750816435027
Risky first	2	vertex	0.5090921823274764	0.4679962193808943	0.5406830981196307	0.4978310750137376
Risky second	0	ips	0.5556313945035749	0.5167744984756263	0.5893110291963676	0.5539721598368215
Risky second	0	vertex	0.5319241285030758	0.5008933019778885	0.5683250387874448	0.4940239125953411
Risky second	1	ips	0.6049359935361704	0.5752594372677301	0.6347588121372951	0.6600632980464913
Risky second	1	vertex	0.5826733500417711	0.5523253018910914	0.6176444520391888	0.5987324371534898
Risky second	2	ips	0.634518221961831	0.599025496642038	0.6699552371187709	0.6336926732415454
Risky second	2	vertex	0.6132532087795246	0.5732487278803068	0.6466004025214551	0.5966871724766462
